Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	4.25	0.8291562	5.0	3.0	1000.0	12.851377	59.268806	204.44861	-184.22203	4000	-0.006262238	3693.4497	0.012067698	-2946.2007	0.014243094	2.2763197	1.9395480155944824
1	0.0	0.0	0.0	0.0	1000.0	-16.312634	22.3584	71.80696	-103.24168	8000	-0.0032566902	734.8678	-0.0013521649	-481.5496	2.179137	0.0013485006	3.5201497077941895
2	0.0	0.0	0.0	0.0	1000.0	-1.5335104	16.046093	76.45077	-63.238655	12000	-0.0027460605	261.58752	-0.0011462099	-100.63083	2.1690629	0.0015427665	5.100379943847656
3	0.0	0.0	0.0	0.0	1000.0	0.38971934	12.354383	68.064384	-49.401867	16000	-0.0022566598	163.58461	-0.0006916439	-46.451527	2.1495664	0.0002302951	6.661752939224243
4	0.0	0.0	0.0	0.0	1000.0	0.7215931	10.453683	63.613197	-48.24104	20000	-0.0026667565	113.7612	-0.0005602492	-26.096302	2.1563985	0.0010725952	8.265884637832642
5	0.0	0.0	0.0	0.0	1000.0	0.19958407	9.295903	68.58902	-46.493702	24000	-0.005122535	88.5266	-0.001211151	-20.224104	2.1439939	0.0013862592	9.883699893951416
6	0.0	0.0	0.0	0.0	1000.0	0.5196066	8.200383	55.64821	-41.884834	28000	0.014955778	68.993	-0.0038283886	-13.566114	2.120405	0.00803416	11.488537549972534
7	0.0	0.0	0.0	0.0	1000.0	-0.22343493	7.801599	61.109795	-38.704296	32000	-0.001454446	63.248646	-0.00024868152	-9.7735815	2.1650176	0.0007156576	13.06505012512207
8	0.0	0.0	0.0	0.0	1000.0	0.08007974	7.329741	54.24566	-43.319756	36000	-0.013619761	54.03076	-0.004288705	-8.674657	2.1564376	0.0058040917	14.647826194763184
9	0.0	0.0	0.0	0.0	1000.0	0.4920457	6.419244	53.430477	-27.317822	40000	0.0018925909	43.552345	-0.00035081292	-6.4023423	2.1146479	7.896567e-05	16.414272785186768
