Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	0.49840742	0.6930635	3.3014219	-1.7272124	4000	-0.008549392	0.7217036	0.008545419	-0.6835263	1.6441174	0.5531022	1.8972065448760986
1	0.0	0.0	0.0	0.0	1000.0	0.20300613	0.21063985	1.1226007	-0.2213584	8000	-2.1536835e-07	0.081239134	-2.7404167e-07	-0.056293838	2.197225	-6.884336e-08	3.461212396621704
2	0.0	0.0	0.0	0.0	1000.0	0.041429717	0.14477818	0.5463715	-0.26227665	12000	-6.267801e-07	0.022591382	-2.9057264e-07	-0.0097966865	2.1972232	-9.5665456e-08	5.038809299468994
3	0.0	0.0	0.0	0.0	1000.0	0.053369515	0.10171148	0.59919053	-0.24838854	16000	2.8917566e-07	0.012314236	-4.8358925e-07	-0.0055869394	2.1972241	-1.7452241e-07	6.652482986450195
4	0.0	0.0	0.0	0.0	1000.0	0.023106035	0.08364098	0.55813944	-0.25295678	20000	-1.4547259e-06	0.007502539	-9.762589e-07	-0.0022569373	2.1972241	1.9550323e-07	8.21932339668274
5	0.0	0.0	0.0	0.0	1000.0	0.016220547	0.07158937	0.6012968	-0.2657848	24000	2.4959445e-07	0.005463556	-2.7683564e-07	-0.0010619528	2.1972246	1.296401e-07	9.75466513633728
6	0.0	0.0	0.0	0.0	1000.0	0.012211506	0.06519455	0.62544155	-0.28311694	28000	-1.0617077e-07	0.004457672	-2.644956e-07	-0.00060647173	2.1972249	-2.8133396e-08	11.28968071937561
7	0.0	0.0	0.0	0.0	1000.0	0.015209899	0.062087987	0.5043647	-0.2471434	32000	2.0302832e-07	0.0042615375	-3.988389e-07	-0.0005667509	2.1972253	2.090931e-07	12.869969129562378
8	0.0	0.0	0.0	0.0	1000.0	0.011350332	0.060744517	0.58805966	-0.28498328	36000	3.2410026e-07	0.0039221533	-4.2747706e-07	-0.00039209612	2.1972241	-8.547306e-08	14.463863134384155
9	0.0	0.0	0.0	0.0	1000.0	0.014313992	0.055181798	0.4273063	-0.22650811	40000	-2.719462e-07	0.0031844112	-3.221212e-07	-0.00027746096	2.197226	-4.5537945e-08	16.20976996421814
