Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	-3.4694786	31.203352	86.88548	-128.55017	4000	0.005752083	1004.5493	-0.005572968	-858.29095	0.028362941	2.1657941	2.4621517658233643
1	0.0	0.0	0.0	0.0	1000.0	9.235789	12.859696	54.575745	-47.67642	8000	0.00014651194	246.0723	-1.9157771e-05	-173.96954	2.1971598	-5.871061e-07	4.50654411315918
2	0.0	0.0	0.0	0.0	1000.0	1.1301183	7.9262753	32.54579	-35.383533	12000	-9.212643e-06	71.79112	-1.1831289e-05	-25.635845	2.197237	-2.1566152e-06	6.530965566635132
3	0.0	0.0	0.0	0.0	1000.0	0.2919574	6.7680025	27.270767	-37.910748	16000	6.813463e-05	46.67196	-3.4035183e-06	-15.0710125	2.1969504	-9.4085937e-07	8.572971820831299
4	0.0	0.0	0.0	0.0	1000.0	0.5624307	5.3836484	32.635887	-26.207634	20000	4.4740736e-06	29.237999	-1.1507655e-05	-7.7203965	2.1972027	2.3321513e-06	10.623777151107788
5	0.0	0.0	0.0	0.0	1000.0	-0.10033638	4.826661	20.998957	-31.921204	24000	3.8479222e-05	25.162334	-1.5427358e-05	-4.85793	2.197147	9.2000955e-06	12.71147108078003
6	0.0	0.0	0.0	0.0	1000.0	-0.20529348	4.4137588	21.12622	-24.446299	28000	-2.5330111e-05	19.470333	-5.832291e-06	-3.6065056	2.1971812	-2.1828414e-06	14.761829614639282
7	0.0	0.0	0.0	0.0	1000.0	-0.68723977	4.2322235	19.30391	-21.96442	32000	0.0002493672	18.71643	-2.0174542e-05	-3.8050363	2.1970785	1.45080685e-05	16.797797203063965
8	0.0	0.0	0.0	0.0	1000.0	0.29931417	3.7355778	21.775272	-27.211485	36000	6.165821e-05	14.217957	-1.1230353e-05	-2.198393	2.1970925	5.436421e-06	18.853946447372437
9	0.0	0.0	0.0	0.0	1000.0	-0.21843486	3.3766215	14.222851	-18.108433	40000	-4.400732e-06	11.522192	-1.3087265e-05	-1.5766811	2.1970546	-1.2503624e-05	21.147650718688965
