Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	56.737015	32.02299	149.3331	-79.116745	4000	0.0	3940.8164	3.7252903e-09	-3683.14	0.0	2.1972237	2.3008873462677
1	0.0	0.0	0.0	0.0	1000.0	8.094045	10.619176	72.36639	-49.426086	8000	-4.749745e-08	175.29913	-5.8673322e-08	-120.9625	2.1972237	-5.2988526e-08	4.178327560424805
2	0.0	0.0	0.0	0.0	1000.0	0.08111801	7.3731685	38.129105	-30.601557	12000	5.5879354e-09	54.967323	-1.0547228e-07	-16.171566	2.1972241	1.2695789e-08	6.018304109573364
3	0.0	0.0	0.0	0.0	1000.0	0.6154419	6.4185205	34.50256	-32.950848	16000	-2.4214387e-08	42.332603	-2.6391353e-07	-9.161135	2.1972253	1.294613e-07	7.89464807510376
4	0.0	0.0	0.0	0.0	1000.0	0.3589256	5.7398043	36.416286	-26.9862	20000	3.4458935e-08	34.606613	-8.684583e-08	-7.4445696	2.1972244	-1.2242793e-07	9.783068418502808
5	0.0	0.0	0.0	0.0	1000.0	-0.40044862	5.171657	27.79802	-38.606865	24000	1.4901161e-08	27.552273	-1.3131648e-07	-5.305637	2.197225	2.1237135e-07	11.636527299880981
6	0.0	0.0	0.0	0.0	1000.0	0.27226174	4.800429	27.120207	-24.143217	28000	3.5390258e-08	23.068695	-1.1175871e-07	-4.0688753	2.197225	-1.5169383e-07	13.52798056602478
7	0.0	0.0	0.0	0.0	1000.0	0.2385114	4.5537443	25.376926	-25.87158	32000	-4.551839e-08	20.680126	-1.5553087e-07	-3.0971494	2.1972246	-7.1167946e-08	15.36614727973938
8	0.0	0.0	0.0	0.0	1000.0	-0.0070066033	4.2749877	16.3935	-22.203537	36000	-1.6391277e-07	21.040228	-2.7520582e-07	-2.9019887	2.1972241	7.605553e-08	17.24157953262329
9	0.0	0.0	0.0	0.0	1000.0	0.37661555	3.8799284	17.936352	-20.059391	40000	-1.1175871e-08	16.109074	-2.2724271e-07	-2.5226777	2.1972246	-9.924173e-08	19.29319739341736
