Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	-1.6715153	1.6626999	3.7456155	-6.5307875	4000	0.0068283686	5.48251	-0.0068283333	-4.8475904	0.07266867	2.1245546	2.271902561187744
1	0.0	0.0	0.0	0.0	1000.0	-0.21750024	0.4489242	1.8252633	-2.1070838	8000	-5.5879354e-09	0.248061	-3.3702236e-07	-0.15953207	2.1972237	-3.165006e-08	4.1198976039886475
2	0.0	0.0	0.0	0.0	1000.0	-0.016827086	0.29075193	1.1480016	-1.3377184	12000	-3.9115548e-08	0.08538444	-3.4249388e-07	-0.041488394	2.197225	-4.5239922e-08	5.93476676940918
3	0.0	0.0	0.0	0.0	1000.0	0.009187634	0.21547891	1.3884443	-1.3612713	16000	-1.587905e-07	0.04694287	-2.0413427e-07	-0.017502112	2.1972241	-4.0769578e-08	7.7776196002960205
4	0.0	0.0	0.0	0.0	1000.0	0.0063881204	0.1733546	0.6820612	-1.3931905	20000	9.313226e-08	0.031582	-3.396417e-08	-0.009378564	2.197225	-6.461143e-08	9.649242639541626
5	0.0	0.0	0.0	0.0	1000.0	0.01180682	0.14871877	0.859459	-1.371966	24000	-1.8626451e-09	0.023167897	-1.6530976e-07	-0.0070256377	2.1972241	8.20756e-08	11.49064826965332
6	0.0	0.0	0.0	0.0	1000.0	0.004095596	0.13387825	0.66615236	-0.8112675	28000	-2.1327287e-07	0.019360213	-4.953472e-08	-0.004892851	2.1972256	-1.514554e-07	13.407695293426514
7	0.0	0.0	0.0	0.0	1000.0	0.0099859135	0.112155676	0.7766412	-0.9155194	32000	8.940697e-08	0.013704033	-1.4621764e-07	-0.0028679247	2.197225	2.1082164e-07	15.232413291931152
8	0.0	0.0	0.0	0.0	1000.0	0.014671567	0.099882975	0.6456626	-0.7027366	36000	1.3038516e-07	0.01082294	-1.2206146e-07	-0.0022643218	2.1972246	4.2915342e-09	17.101238250732422
9	0.0	0.0	0.0	0.0	1000.0	-0.0012689407	0.09362063	0.51239157	-0.8922348	40000	3.958121e-08	0.008964546	-3.8777944e-07	-0.0014382212	2.1972246	9.590387e-08	19.171189785003662
