Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	0.1920692	0.37748182	1.3378385	-0.9539232	4000	0.006013669	0.18803643	-0.006014254	-0.17473018	2.0196664	0.17755914	2.286867618560791
1	0.0	0.0	0.0	0.0	1000.0	0.004054871	0.00022074078	0.0044672256	0.0035644015	8000	-6.519258e-07	1.3964402e-05	-2.081506e-07	-8.363631e-06	2.1972241	-1.642108e-07	4.109668016433716
2	0.0	0.0	0.0	0.0	1000.0	0.002622569	0.00021813122	0.0030466858	0.0022040694	12000	-2.947636e-07	5.8099686e-06	-1.5739352e-07	-3.448271e-06	2.1972263	3.1173226e-08	5.920480966567993
3	0.0	0.0	0.0	0.0	1000.0	0.0017068268	0.00021947088	0.0021566444	0.0012981627	16000	1.6763806e-07	2.4840717e-06	-2.0558946e-07	-1.4687784e-06	2.197225	1.4024972e-07	7.72133469581604
4	0.0	0.0	0.0	0.0	1000.0	0.0010894666	0.00021426048	0.001549107	0.00072677986	20000	6.3329935e-08	1.0485365e-06	-2.6170164e-07	-6.2008286e-07	2.1972244	-1.2880564e-07	9.551303625106812
5	0.0	0.0	0.0	0.0	1000.0	0.00070551154	0.0002177372	0.0011657403	0.00033757545	24000	-8.009374e-08	4.5447064e-07	-1.0197982e-07	-2.4851593e-07	2.1972246	1.4013052e-07	11.370421886444092
6	0.0	0.0	0.0	0.0	1000.0	0.0004427268	0.00021398111	0.0009066898	0.0001097359	28000	-4.9360096e-08	2.039017e-07	-2.9522926e-07	-9.6421616e-08	2.1972246	-5.209446e-08	13.19998812675476
7	0.0	0.0	0.0	0.0	1000.0	0.00030823494	0.00021982801	0.0007484728	-5.0393224e-05	32000	7.7299774e-08	1.2650744e-07	-1.10827386e-07	-5.1203067e-08	2.197225	-1.513958e-08	15.07040810585022
8	0.0	0.0	0.0	0.0	1000.0	0.00018183512	0.0002141655	0.0006268823	-0.0001512089	36000	-2.4214387e-07	7.255339e-08	-2.1327287e-07	-1.617473e-08	2.1972241	4.631281e-08	16.872387647628784
9	0.0	0.0	0.0	0.0	1000.0	0.000119757824	0.00021106895	0.0005586406	-0.0002251729	40000	1.1175871e-07	5.898387e-08	-1.3504177e-07	-7.939081e-09	2.1972237	3.0219553e-08	18.935678243637085
