Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	0.27798682	0.5800323	2.0069199	-1.3955283	4000	0.0063278996	0.4088558	-0.0063279252	-0.38884825	1.8386698	0.3585557	2.3068666458129883
1	0.0	0.0	0.0	0.0	1000.0	0.04465671	0.0055525964	0.050732665	0.031139042	8000	-3.4167897e-08	0.0017000651	-2.0570587e-07	-0.0016067731	2.1972237	-4.231932e-09	4.231724977493286
2	0.0	0.0	0.0	0.0	1000.0	0.004740049	0.0026635057	0.01656042	-0.0024790375	12000	-4.0978193e-08	2.5042627e-05	-2.7008355e-08	-1.8818868e-05	2.1972237	9.173155e-08	6.131542682647705
3	0.0	0.0	0.0	0.0	1000.0	0.0005268753	0.0022700024	0.011768069	-0.0058943247	16000	-5.2154064e-08	6.481776e-06	-1.648441e-07	-8.393297e-07	2.1972246	-5.4538248e-08	7.9404072761535645
4	0.0	0.0	0.0	0.0	1000.0	0.00052748754	0.0020614895	0.011128635	-0.005627915	20000	-9.34815e-08	4.385313e-06	-7.5262506e-08	-8.3452215e-07	2.197226	-9.667873e-08	9.75023078918457
5	0.0	0.0	0.0	0.0	1000.0	0.00012538114	0.0018470081	0.010351821	-0.0059948447	24000	-4.5169145e-08	3.400199e-06	-1.245644e-07	-4.617778e-07	2.1972253	2.4044516e-07	11.573487281799316
6	0.0	0.0	0.0	0.0	1000.0	0.00016719225	0.0017785773	0.010829905	-0.0060143867	28000	7.3807314e-08	3.3637266e-06	-1.762528e-07	-4.4065933e-07	2.1972246	9.298326e-09	13.45752239227295
7	0.0	0.0	0.0	0.0	1000.0	-6.882069e-05	0.001693043	0.010070909	-0.005754158	32000	-1.7508864e-07	3.0596739e-06	-1.4016405e-07	-3.4711638e-07	2.1972241	7.551908e-08	15.327266216278076
8	0.0	0.0	0.0	0.0	1000.0	0.00014126343	0.0015884385	0.009955713	-0.00514115	36000	-1.7601997e-07	2.5957142e-06	-3.0755473e-07	-2.7381395e-07	2.1972237	-7.516145e-08	17.219212293624878
9	0.0	0.0	0.0	0.0	1000.0	2.7589574e-06	0.0014767762	0.01049749	-0.004906242	40000	6.891787e-08	2.256156e-06	-3.934838e-08	-2.112514e-07	2.1972256	-6.431341e-08	19.322758197784424
