Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-160.04417	82.41124	-66.98824	-400.65652	95.0	0.018554661	0.42006567	1.0443504	-1.528106	4000	-0.017062329	9018.965	-2.1699816e-07	-0.15698242	1.8369071	-1.064837e-07	1.4694452285766602
1	-152.60175	72.7698	-39.763092	-399.24152	89.18604	-0.046542656	0.3803716	0.6839783	-1.5129266	8000	0.012714576	8480.828	-2.30968e-07	-0.17199707	1.8592354	7.265806e-08	2.5316989421844482
2	-156.0881	90.97712	39.237	-484.51004	91.5	0.014661644	0.37208018	0.90752226	-1.3154507	12000	-0.0072702914	9697.286	-3.222376e-07	-0.18029785	1.8209478	-1.346618e-07	3.559868335723877
3	-164.51147	69.85631	-23.04922	-305.13617	97.0	-0.06705945	0.41953108	0.6704247	-1.3722284	16000	0.009841945	8279.848	-4.4237822e-07	-0.2319336	1.8482164	1.7739832e-07	4.61181640625
4	-131.51747	56.874603	-21.470291	-295.57147	98.30769	0.036501862	0.3797534	0.84538215	-1.1419225	20000	0.010957696	5609.6826	-2.1979213e-07	-0.13061523	1.8478856	-1.4705955e-07	5.687747240066528
5	-165.56445	94.443504	-13.587798	-432.10342	98.15385	0.035446968	0.4340757	0.90492046	-1.751842	24000	0.00065236166	9536.459	-3.7625432e-07	-0.23596191	1.8512428	1.3615191e-07	6.762808561325073
6	-149.39041	81.58731	-7.1651807	-364.53214	97.64103	-0.0089202095	0.41284955	0.79554284	-1.5377569	28000	-0.016007662	7813.7783	-1.7601997e-07	-0.18395996	1.8116561	-1.4846027e-07	7.833920478820801
7	-183.92316	112.44599	-16.061913	-507.3127	97.125	-0.037508108	0.4513014	1.1591836	-1.6917396	32000	-0.01775261	12910.396	-5.2526593e-07	-0.32250977	1.8460739	2.0721555e-07	8.903684139251709
8	-139.97466	85.08443	17.39847	-411.27435	91.59524	-0.041428003	0.4260316	0.8002722	-1.7239532	36000	0.015840322	7392.239	-1.4342368e-07	-0.19494629	1.842675	6.048381e-08	9.955621719360352
9	-152.60678	84.39377	-7.816946	-364.05222	95.825	-0.018943092	0.4156055	0.79687214	-1.6576537	40000	0.013209185	8325.711	-2.8125942e-07	-0.25390625	1.8593023	8.136034e-09	11.216747045516968
