Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-246.61725	162.59021	10.016372	-548.5329	90.11628	0.2904259	0.17386557	0.7479782	-0.28098735	4000	0.011302307	25875.887	-1.9744039e-06	-1.5292969	1.8317796	1.6602873e-07	1.8614630699157715
1	-224.31573	140.55214	-4.788964	-497.38995	89.71429	0.29096276	0.1632556	0.6488236	-0.2981412	8000	0.0053928085	20996.166	-1.3103709e-06	-1.2287598	1.8392588	-3.143549e-07	3.1741626262664795
2	-190.12518	140.99149	-14.25015	-500.22833	89.585365	0.27511624	0.17850082	0.6280352	-0.336646	12000	0.01209943	18076.938	-3.2000244e-06	-1.0087891	1.8485305	6.6027056e-08	4.4576122760772705
3	-200.55603	147.64046	-9.274817	-570.3511	90.11628	0.279203	0.17479183	0.69067484	-0.29565096	16000	-0.009144172	19940.764	-6.03497e-07	-1.1872559	1.8130782	-1.5869736e-07	5.782959222793579
4	-236.00931	148.54155	-28.272646	-550.3231	90.09524	0.27227673	0.17560038	0.6898605	-0.32834563	20000	0.016164519	23402.72	-1.2665987e-06	-1.671875	1.8234541	2.9596686e-07	7.106954574584961
5	-229.47575	152.43561	20.333765	-562.8846	91.11905	0.26329756	0.17916693	0.6462505	-0.27972713	24000	-0.008240584	23394.723	-1.0635704e-06	-1.7905273	1.8248851	3.551543e-07	8.42530870437622
6	-261.88718	170.53333	-10.172494	-582.3666	90.7619	0.25240675	0.18211941	0.76819587	-0.33368796	28000	0.014100686	29201.062	-7.785857e-07	-2.7167969	1.8215567	2.7020275e-07	9.7468101978302
7	-211.28053	151.36957	-16.18057	-485.8075	92.46342	0.23425509	0.1843854	0.6682154	-0.31779343	32000	-0.004608644	19611.785	-1.6605482e-06	-1.5432129	1.8381865	-4.351437e-07	11.056591510772705
8	-222.4032	136.45549	-23.66799	-590.0146	90.88095	0.2421221	0.18065068	0.6648337	-0.2916082	36000	-0.011278339	21415.08	-5.289912e-07	-1.8337402	1.8507664	3.06651e-07	12.37565565109253
9	-187.59557	141.89938	-27.311565	-503.3153	96.5641	0.22735535	0.18067361	0.605622	-0.31436652	40000	0.0013794303	16973.957	-1.5292317e-06	-1.2614746	1.8450999	1.859963e-07	13.940880537033081
