Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-342.85645	176.8285	25.718622	-610.6585	96.84615	0.13017444	0.12212327	0.79226875	-0.10745849	4000	-0.030237395	41070.523	-5.327165e-07	-1.0429688	1.8317796	1.4485418e-07	2.140451669692993
1	-404.38956	195.05515	35.681965	-673.86163	100.210526	0.12776822	0.12594114	0.81891423	-0.10853599	8000	-0.007316664	54396.04	-1.0225922e-06	-1.6914062	1.8392584	-7.4446206e-08	3.6194186210632324
2	-384.35077	190.92215	-33.578037	-630.23737	101.416664	0.11623898	0.12320318	0.7848576	-0.10666934	12000	0.022432968	48196.25	-7.0407987e-07	-1.4833984	1.8485302	-2.6977062e-07	4.978649377822876
3	-325.6725	193.36339	32.824512	-628.89197	98.666664	0.115630746	0.10909436	0.81245804	-0.11706118	16000	-0.040660735	39391.133	-8.6892396e-07	-1.1362305	1.8130778	-2.4336578e-07	6.344791889190674
4	-267.396	154.787	8.030623	-617.4853	96.89474	0.10980258	0.116002195	0.78839415	-0.09383086	20000	0.0028291494	27979.174	-5.2154064e-07	-0.8388672	1.8234539	-3.3748148e-07	7.625703811645508
5	-370.564	170.81187	-47.95177	-689.36194	96.128204	0.109988995	0.12546434	0.74915653	-0.114969775	24000	-0.0079617575	44485.945	-5.6251884e-07	-1.5966797	1.8248847	1.027137e-07	8.928760528564453
6	-376.97687	136.3153	-34.072216	-599.6107	97.410255	0.105071746	0.11656585	0.80448025	-0.11656934	28000	0.0019887835	43343.566	-3.11411e-07	-1.6572266	1.8215562	8.428097e-08	10.271520614624023
7	-375.30545	181.10782	11.270672	-637.2995	95.02439	0.092942655	0.111044616	0.70442176	-0.11197118	32000	0.022334278	46785.426	-8.5122883e-07	-1.8574219	1.838186	-1.2218955e-09	11.600576639175415
8	-374.99072	176.12756	-22.715832	-663.21924	103.567566	0.085218735	0.1254898	0.7614092	-0.121603064	36000	-0.010825291	43359.375	-8.08388e-07	-1.828125	1.8507661	1.3509394e-07	12.904075860977173
9	-353.55704	167.69661	-34.05669	-601.3279	99.28205	0.085520335	0.12136729	0.7691718	-0.13789518	40000	-0.028700456	41811.594	-8.009374e-07	-1.7460938	1.8450997	-5.386174e-07	14.46122145652771
