Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-771.7489	182.29662	-526.01776	-1374.9941	96.75	0.28108156	0.016845467	0.33132765	0.25182393	4000	-0.005433973	158215.69	-8.456409e-07	-3.0390625	1.8317795	1.372397e-07	1.9602177143096924
1	-741.79443	168.91074	-469.59723	-1358.2323	96.7	0.27922913	0.016752299	0.32882014	0.24701412	8000	0.01247979	151163.9	-8.796342e-07	-3.1503906	1.8392588	-3.3304096e-07	3.3311514854431152
2	-711.26434	127.650024	-511.9418	-1127.6384	90.190475	0.2734299	0.016242836	0.3190087	0.2436269	12000	0.011260439	142564.12	-1.5608966e-06	-3.265625	1.8485304	-7.920414e-07	4.706588268280029
3	-758.9586	169.50925	-527.9706	-1418.2355	98.666664	0.26877746	0.01708819	0.3191211	0.23559764	16000	0.025978684	150744.1	-1.0151416e-06	-3.609375	1.8130779	-3.8321318e-07	6.073268175125122
4	-747.9617	138.5455	-561.4842	-1076.3998	99.47369	0.26499966	0.017077908	0.31162623	0.22649129	20000	0.018075526	145235.22	-4.6845526e-07	-3.7304688	1.8234546	-6.4872205e-07	7.435135126113892
5	-745.22186	132.7503	-575.15076	-1231.1844	96.333336	0.25909537	0.017663104	0.3039368	0.22870532	24000	0.011585744	145973.34	-1.1152588e-07	-3.9101562	1.8248857	-1.00240115e-07	8.812870264053345
6	-703.6138	157.81256	-403.14313	-1228.3202	92.95238	0.25634646	0.016010148	0.29786918	0.22452463	28000	0.020332374	141920.89	-1.3178214e-07	-3.8554688	1.8215573	2.4276972e-07	10.170054912567139
7	-717.5466	111.51558	-484.54468	-1023.99286	88.7381	0.24917907	0.015779708	0.29088485	0.2194397	32000	0.0073903315	139803.17	-1.5316909e-06	-4.0683594	1.8381872	1.6883035e-08	11.5154390335083
8	-732.9138	151.09393	-492.37262	-1242.7422	100.36842	0.24373202	0.017268285	0.2899659	0.21227969	36000	0.003760498	140123.66	-2.4493784e-07	-4.205078	1.8507674	1.6209484e-07	12.872281074523926
9	-741.0249	130.75389	-552.89026	-1134.1432	96.4	0.23615469	0.016876116	0.2867766	0.19776917	40000	-0.008157078	142050.84	-9.853393e-07	-4.3984375	1.8451011	-1.2881458e-06	14.493473768234253
