Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-254.58755	156.78154	-29.866262	-668.7418	115.96875	0.18020391	0.20645891	0.992597	-0.4764912	4000	0.013420641	23045.682	-1.3364479e-05	-70.87622	1.8369071	5.5710525e-06	1.4421594142913818
1	-209.48259	109.79113	53.448654	-455.60684	120.24138	-0.11015946	0.14555067	0.5741231	-0.46820444	8000	-0.019255832	13178.387	-1.8686056e-05	-18.802246	1.8592608	9.18895e-07	2.615473747253418
2	-280.08813	148.5298	-43.978397	-720.40497	123.15625	-0.22107522	0.19189359	0.1664508	-1.2182202	12000	-0.004401043	25097.57	-1.7095706e-05	-37.976562	1.8209367	4.3594837e-06	3.778083562850952
3	-243.77884	94.86445	-85.50116	-528.8633	129.75862	-0.28497195	0.21735774	0.11600406	-1.4883358	16000	0.026223842	15153.303	-1.7356128e-05	-16.701904	1.8481972	3.971353e-06	4.938713788986206
4	-253.25194	113.96147	-20.201296	-469.47122	136.0	-0.37143344	0.23428848	0.16765724	-1.7688051	20000	0.0006097853	17150.105	-8.605421e-06	-17.514404	1.8479149	-4.3645946e-06	6.108776569366455
5	-266.77698	107.405876	-21.854973	-459.1991	127.0	-0.48249054	0.23441817	0.013193183	-1.3949088	24000	-0.006786011	17565.982	-1.6617589e-05	-18.010742	1.851273	4.8827083e-06	7.272015571594238
6	-274.98935	152.93225	16.38311	-593.5784	122.32258	-0.5636726	0.24977003	0.0065319277	-2.0728383	28000	-0.017608643	24056.055	-1.9073486e-05	-21.451172	1.8116732	2.0552434e-06	8.400363206863403
7	-244.07985	120.108376	-76.07666	-627.3708	128.1	-0.59063697	0.30722612	-0.22211714	-2.6312156	32000	0.008226797	15578.158	-2.094428e-05	-12.247803	1.8460584	7.4115696e-06	9.56497049331665
8	-244.65742	90.42912	-75.86355	-420.79376	119.1875	-0.6616592	0.23440526	-0.30311844	-2.4266357	36000	0.020670295	17145.975	-8.620322e-06	-14.7146	1.8426746	-3.6503388e-07	10.691896915435791
9	-266.97446	130.14268	-5.145023	-476.1795	140.96297	-0.68718237	0.28037828	0.12433655	-2.4065988	40000	0.0045679286	19233.078	-1.2112781e-05	-14.7734375	1.8593395	3.376812e-06	12.003349781036377
