Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-272.95264	126.01423	-50.889328	-573.2157	121.63333	0.20489502	0.17822774	0.9581145	-0.204526	4000	-0.01796298	20438.648	-2.517458e-05	-70.52002	1.8369071	6.6018556e-06	1.4035253524780273
1	-252.50658	108.935234	-71.61579	-451.72543	120.4375	-0.05362432	0.15987171	0.2168091	-0.91451067	8000	-0.004861191	18897.055	-2.6069582e-05	-32.764893	1.8592018	3.2108724e-06	2.5186400413513184
2	-261.97586	132.74591	-47.05638	-626.4974	109.2	-0.20432943	0.16520968	0.17820781	-0.9488073	12000	0.0023475438	23313.488	-3.5706908e-05	-31.628906	1.8209052	9.40758e-06	3.6472253799438477
3	-234.01666	124.05934	5.617323	-433.49844	115.066666	-0.31100434	0.21551739	0.3879581	-1.5056198	16000	0.016353395	15583.797	-1.7919578e-05	-14.842285	1.8481789	-6.5365424e-07	4.818621873855591
4	-203.8922	105.50125	-24.408026	-396.8689	123.19355	-0.38453192	0.1760429	0.20332758	-1.5195638	20000	0.0147254765	13020.915	-2.4715846e-05	-12.132324	1.8478786	-1.0634661e-05	5.956780910491943
5	-271.94498	151.67807	-46.593086	-595.7497	140.81482	-0.41914454	0.19986883	0.15012553	-2.235311	24000	-0.0026259143	20172.89	-9.039417e-06	-19.049072	1.8512628	9.999126e-07	7.155076265335083
6	-230.58939	137.02913	20.913868	-605.6576	126.53333	-0.505089	0.23933555	0.22499529	-2.2264352	28000	-0.0013381727	17362.621	-9.115785e-06	-15.390137	1.811671	-6.718042e-07	8.369107484817505
7	-265.5511	137.37059	-37.436714	-593.48724	131.46428	-0.5826242	0.27728456	-0.2266975	-2.3893442	32000	-0.05574333	18603.305	-1.63652e-05	-15.505127	1.8460863	5.0368753e-06	9.515301942825317
8	-285.20035	142.13829	-84.01895	-633.9829	131.46428	-0.6413089	0.25582913	0.017525379	-2.7006788	36000	0.004543295	21433.879	-8.679926e-06	-16.809082	1.8425857	1.6486198e-06	10.659013509750366
9	-219.16248	128.56367	-21.70773	-467.59158	120.5	-0.64996874	0.23403664	-0.32513952	-2.920321	40000	-0.010725543	15681.565	-2.6036054e-05	-11.876221	1.859221	8.651495e-06	11.936293125152588
