Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-169.91757	81.32479	-65.46381	-396.92276	89.40476	0.0002933445	0.41667798	0.80922496	-1.5013021	4000	0.0009788582	9863.701	-2.603326e-05	-70.13965	1.8369071	-3.5386831e-06	1.4207186698913574
1	-164.96318	92.09996	-65.91955	-422.15906	85.382355	-0.356898	0.42400286	0.9531804	-1.8058809	8000	0.0035715997	8189.1953	-4.9252063e-05	-22.912323	1.8592374	5.6393146e-06	3.8441662788391113
2	-159.07834	71.74431	-47.260086	-376.6943	91.731705	-0.5126274	0.46094948	1.0184181	-2.0636346	12000	0.011576312	8433.37	-3.6495738e-05	-24.873169	1.8209566	-3.7521113e-07	4.876606702804565
3	-182.96732	109.36908	-58.15283	-466.06537	88.088234	-0.6349047	0.48916277	0.47763756	-2.4227567	16000	0.0055206567	10665.772	-4.2259693e-05	-19.962158	1.8482472	1.9661755e-05	7.631885528564453
4	-153.31573	80.569786	5.621807	-352.79623	94.731705	-0.8401654	0.5331468	0.31347293	-2.4832006	20000	0.01568003	7767.7295	-1.1585653e-05	-17.481445	1.8479266	5.406797e-06	8.658430814743042
5	-166.3468	92.31543	8.195336	-479.38214	92.21429	-0.93905145	0.50027275	-0.0026019588	-2.5304315	24000	-0.0069941133	9958.197	-5.9556216e-05	-19.59961	1.8513131	8.237541e-06	9.684808492660522
6	-156.19098	70.076324	-40.409237	-335.92255	88.51163	-1.0512439	0.5094063	0.094203115	-2.816538	28000	-0.0021621361	8527.324	-2.0000502e-05	-17.070068	1.8117132	-7.234171e-06	10.701318264007568
7	-163.57121	95.88313	-34.431526	-496.28925	95.825	-1.1589614	0.5820585	0.23537704	-3.2284179	32000	0.012171879	9389.645	-9.990297e-05	-17.35083	1.8461269	1.3094455e-05	11.729024648666382
8	-130.14365	72.449295	50.477016	-358.69876	87.333336	-1.2849748	0.55454695	-0.014542021	-3.2613325	36000	-0.011019145	6350.655	-1.530582e-05	-9.743408	1.8427509	3.3611805e-06	12.765763998031616
9	-136.31909	74.552765	50.85978	-344.02887	121.0	-1.058317	0.60028136	0.5865658	-3.0220122	40000	-0.01936543	5571.7236	-1.0050833e-05	-6.8828125	1.8593575	2.6852488e-06	16.56564235687256
