Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-403.58145	170.6438	-36.711548	-676.4586	93.268295	-0.32536533	0.12061665	-0.07173169	-0.80901474	4000	0.01743158	49488.99	-2.986379e-05	-1437.9072	1.8237762	-1.8862516e-05	1.9534459114074707
1	-398.32043	186.43883	56.863823	-673.47107	93.243904	-3.921061	1.3498999	-1.6698415	-9.0124445	8000	0.00078709424	48906.688	-3.7852675e-05	-1020.2578	1.8209445	-2.9619487e-06	3.4995839595794678
2	-412.32834	182.1093	-8.08217	-755.87103	97.74359	-6.3373446	2.3412745	-2.3055723	-15.829328	12000	-0.0029572062	48507.516	-5.3578988e-05	-974.5752	1.8405054	-2.166331e-06	5.0105674266815186
3	-388.95526	178.88847	-98.82828	-730.06366	94.14634	-8.769186	3.3013594	-3.8125045	-20.685513	16000	-0.03649781	44321.758	-0.00016043708	-900.1748	1.8318897	2.3129105e-05	6.524129629135132
4	-458.70367	162.06673	-21.3886	-780.78217	99.89744	-12.018558	4.4018493	-4.934436	-30.293152	20000	0.0021077916	53688.4	-0.00012429804	-1296.4424	1.8427464	6.059836e-05	8.022945165634155
5	-342.2454	168.06767	10.600478	-669.65344	86.954544	-13.546575	4.74585	-6.6753225	-33.423084	24000	-0.008653676	37241.04	-6.7361165e-05	-792.74805	1.8171465	-3.8513062e-05	9.509702205657959
6	-383.94235	171.97852	-43.540043	-661.669	90.47619	-16.811035	6.1420736	-9.362879	-40.11806	28000	0.00096282363	40627.688	-8.9518726e-05	-993.1133	1.8524199	1.5894935e-05	10.994894027709961
7	-368.59766	179.01443	-68.99038	-684.5745	89.65116	-18.775217	7.259302	-8.735604	-44.25421	32000	0.0008818209	38250.25	-6.3998625e-05	-930.6885	1.8559422	-7.3414003e-06	12.483788967132568
8	-379.6986	154.03154	-105.719574	-662.3754	89.90476	-22.38729	7.8442845	-9.647063	-53.808716	36000	-0.015690446	38610.82	-0.00013194047	-1033.1836	1.8519905	-5.802995e-05	13.963870763778687
9	-386.0182	207.93544	51.754913	-716.96796	93.731705	-24.403496	10.306214	-8.542804	-57.27412	40000	-0.047950342	41834.438	-0.00015212968	-1027.852	1.8449744	5.0414725e-05	15.788912534713745
