Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-951.63055	303.06683	-398.3808	-1543.2291	94.60976	0.6031997	0.2020668	1.245457	0.3128505	4000	0.023457587	249671.11	-0.00015582144	-4916.2188	1.8317795	-8.823468e-06	1.8929483890533447
1	-897.9749	251.9669	-401.37775	-1462.4948	88.64286	-4.9499154	0.37271786	-4.615431	-6.9628787	8000	-0.018353797	224983.47	-9.243935e-05	-2580.6602	1.839303	-4.904762e-05	3.3706071376800537
2	-954.21106	250.19763	-484.60187	-1611.2196	92.46342	-8.069299	0.83851075	-7.2243514	-13.15068	12000	-0.016081497	246948.31	-9.968877e-05	-2676.6094	1.8485401	-4.976933e-05	4.8352696895599365
3	-941.0776	284.9575	-489.9645	-1816.4763	93.560974	-11.1715355	1.516475	-9.580527	-19.18236	16000	0.0031467248	236658.5	-0.00023110816	-2461.4844	1.8130572	-4.5999706e-05	6.321145057678223
4	-966.77985	268.46872	-467.9322	-1438.4509	93.948715	-14.101296	2.1322343	-11.731449	-22.307129	20000	0.01370237	241650.52	-0.0002572043	-2542.1992	1.8234395	-0.00014511432	7.7908408641815186
5	-914.2191	283.73257	-632.0154	-1627.835	88.27907	-16.958843	2.73893	-13.747172	-32.471035	24000	-0.025928244	222226.48	-6.537512e-05	-2294.5156	1.8248961	-2.0251202e-05	9.3224458694458
6	-907.0288	262.64838	-473.6895	-1623.4153	88.139534	-19.660166	3.2561715	-15.652188	-35.157463	28000	0.016813666	217236.6	-0.00024880777	-2247.4844	1.8215191	-7.15964e-05	10.821393013000488
7	-860.6692	227.05635	-511.82687	-1497.4508	84.681816	-22.36252	3.8694031	-17.561384	-39.20342	32000	-0.01707405	196501.8	-0.0002322353	-2001.2695	1.8381801	6.142413e-05	12.279031038284302
8	-834.052	206.0578	-424.2679	-1298.7133	84.844444	-24.726078	4.202162	-19.303703	-40.688343	36000	-0.012727175	184190.1	-0.00024282033	-1863.3672	1.8507283	-2.0854906e-05	13.737805843353271
9	-874.00757	199.21062	-379.36136	-1465.2579	83.978264	-27.48014	5.0511136	-20.991257	-49.34396	40000	0.008417737	192688.75	-4.2568892e-05	-2051.8125	1.8450384	0.00010827306	15.501099824905396
