Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-199.1722	120.87092	-20.621185	-433.5802	96.025	0.16802263	0.12177697	0.46335828	-0.19481266	4000	0.01617477	15426.105	-6.576069e-05	-304.854	1.8317795	1.2391984e-05	1.6808805465698242
1	-180.34659	143.88004	-18.510649	-527.0414	92.39024	-1.2531731	0.34071758	0.5127594	-1.7356223	8000	-0.032751158	15473.035	-6.8061054e-05	-147.77405	1.839289	-6.4401033e-06	2.9773366451263428
2	-165.09029	128.45663	-22.80343	-463.6054	91.15151	-1.7648431	0.6341022	1.4440446	-2.6925583	12000	-0.024599157	10202.334	-1.4923513e-05	-64.14966	1.8484993	-7.890225e-06	5.756929159164429
3	-149.97517	125.47514	17.260468	-452.08496	92.59524	-2.403604	0.57891005	0.7586032	-3.2835796	16000	0.01615231	11397.053	-2.0473264e-05	-88.029785	1.8130007	-3.5727176e-06	7.074233055114746
4	-199.95586	127.248665	-19.127684	-537.81433	88.25581	-2.8541436	0.80584246	2.150796	-4.162957	20000	0.0024409294	15867.339	-2.0630658e-05	-124.631836	1.8234067	3.1969396e-06	8.335071086883545
5	-203.02928	139.11093	-21.678522	-453.60712	89.34884	-3.6494014	0.6773688	2.0026264	-4.593485	24000	-0.02461508	17939.947	-5.8166683e-05	-127.58545	1.8248422	6.705701e-06	9.598573923110962
6	-218.26213	134.90662	-16.755089	-589.6837	92.90476	-4.131503	0.9364968	3.6586494	-5.2462196	28000	0.029111944	18753.043	-3.5734847e-06	-111.57324	1.8214679	2.517253e-07	10.861248016357422
7	-203.84999	132.44862	10.577493	-499.1658	92.0	-4.506204	1.0627433	3.8306165	-6.0078254	32000	-0.000816904	15439.149	-4.3019652e-05	-77.5957	1.838151	-9.812608e-06	12.1690993309021
8	-245.8536	135.23991	-50.179436	-488.87946	95.3	-5.131425	0.8741948	3.7750113	-6.4560137	36000	-0.0071097836	21335.863	-1.1002645e-05	-119.03223	1.8507297	5.4160355e-06	13.45958137512207
9	-170.08928	119.877014	26.543304	-445.07922	93.475	-5.4580965	1.0033927	4.2903647	-7.0982814	40000	0.002219122	12032.02	-2.1692365e-05	-50.3136	1.8450503	-2.0280553e-05	15.037341117858887
