Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-243.50044	116.15659	22.479107	-452.42804	126.413795	0.15696362	0.23599465	0.8665574	-0.9936235	4000	-0.005457394	16186.743	-0.000449826	-263.15137	1.8369071	0.0001646908	1.5169951915740967
1	-259.097	148.59216	-28.350035	-574.9632	126.75862	-1.0115591	0.35641286	-0.3884996	-3.637844	8000	0.03668288	19626.82	-0.00016576238	-391.82764	1.8592356	2.6221423e-05	2.683267593383789
2	-265.12854	99.67895	-89.71242	-502.7196	122.51613	-2.6021855	0.8015546	-0.96436703	-10.032618	12000	-0.002465278	18184.494	-0.00017274171	-555.08105	1.8211161	8.8675944e-05	3.8325650691986084
3	-235.82967	103.52937	-55.428288	-416.0032	116.77419	-4.676103	1.4881263	-2.0196788	-17.404013	16000	0.020493496	14908.399	-0.00019586738	-621.1975	1.848473	-1.2862936e-05	5.0360107421875
4	-241.97488	118.54731	-54.85591	-455.4443	119.666664	-7.3377905	2.6257489	-1.5719632	-28.45562	20000	0.010277569	13661.154	-0.00015679351	-725.87366	1.848283	-2.6905644e-05	7.141131162643433
5	-230.82243	119.871605	-73.17316	-562.353	124.6	-10.870682	3.3630233	-5.1717725	-36.613113	24000	-0.018230677	13128.142	-8.5264444e-05	-835.13385	1.8518054	-4.8577494e-06	8.45288372039795
6	-253.30406	131.46501	-50.98954	-547.32513	122.333336	-15.045757	5.5617228	-0.9924679	-56.44922	28000	-0.0020611435	15490.824	-0.0002140631	-1117.9564	1.8122742	-2.0480147e-06	9.74236249923706
7	-226.73224	120.044876	-41.678898	-478.8926	123.29032	-19.36407	6.1206336	-9.072791	-69.86632	32000	-0.0007520132	10845.288	-0.00011966564	-849.7854	1.8467156	-1.5749545e-05	10.887531042098999
8	-241.87668	124.46476	-30.051912	-471.70312	136.10345	-24.905064	8.132544	-6.0330133	-91.85346	36000	0.008650001	11928.883	-9.350991e-05	-1162.1892	1.8433481	6.428823e-06	12.093350887298584
9	-218.35568	136.92296	-63.58813	-607.33545	129.46428	-32.045776	9.910939	-0.9985492	-124.03379	40000	0.0264977	8787.9795	-0.00012837548	-1013.79315	1.8600152	-7.908554e-05	13.527167320251465
