Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-382.0855	195.75494	-10.654163	-843.60706	99.89474	0.13285416	0.12712665	0.7454184	-0.12151489	4000	-0.023298904	49472.688	-0.0020595752	-3248.5654	1.8317796	0.0009315941	1.9313313961029053
1	-315.22272	180.01218	13.861184	-668.01654	98.74359	-7.4711046	2.1490421	-2.8810723	-20.05802	8000	-0.013221204	33366.188	-0.000726426	-7917.4907	1.8386586	-0.00027821332	3.2552976608276367
2	-278.65533	149.21721	23.719168	-560.34076	95.35	-32.869244	7.937639	-10.997507	-48.30491	12000	0.0005914159	19184.773	-0.0007963162	-5204.0674	1.8477235	-0.00027209774	4.575039625167847
3	-341.97092	155.15102	-27.764614	-606.7638	98.91892	-59.820435	5.638501	-38.711475	-63.394787	16000	-0.007301759	18433.352	-0.00067140535	-3299.4512	1.8121533	-0.00012025904	5.920793771743774
4	-276.6511	175.71263	11.207062	-648.09674	93.31707	-77.51415	4.3678985	-25.174417	-79.02425	20000	-0.018661886	13518.99	-0.00041957945	-1672.0442	1.8223988	-0.0002645933	7.256255388259888
5	-327.2648	198.13602	22.399275	-687.5442	104.02778	-90.033264	4.486683	-27.865488	-91.022095	24000	0.012066085	15741.872	-0.00051314756	-1888.596	1.8236428	9.60034e-05	8.614835262298584
6	-325.62988	164.0429	-34.728416	-636.9201	102.07895	-103.567856	1.8187286	-67.22728	-104.068954	28000	0.006147787	11326.051	-0.00064555556	-1372.7506	1.8202146	0.00040848932	9.949469327926636
7	-341.66406	163.5329	48.524105	-671.0712	96.64103	-114.55949	5.4322624	-32.670425	-115.62571	32000	-0.006005928	11774.684	-0.0010619569	-1612.8011	1.8367995	-1.690934e-05	11.279497861862183
8	-337.13754	188.40523	19.055103	-649.9075	105.19444	-122.04255	13.386782	-39.95679	-128.62933	36000	0.022325963	11290.201	-0.000744883	-1448.1213	1.8493081	0.00016231142	12.661310911178589
9	-285.44092	162.12749	-29.192022	-601.2274	102.5946	-124.37203	21.11689	-35.721634	-139.6251	40000	-0.0030875355	5841.154	-0.0005908429	-677.1209	1.8436304	-0.00043343025	14.323290586471558
