Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-217.67766	152.01068	40.103382	-513.96185	98.76316	0.1628125	0.11900024	0.45504576	-0.20922026	4000	0.026084289	20384.576	-0.00330118	-1399.9548	1.8317796	0.001098501	1.903965711593628
1	-161.21527	119.68634	5.7613363	-446.3891	97.28205	-5.8356576	0.95273864	0.8069905	-7.32254	8000	0.0077614896	10466.367	-0.0010947259	-823.6526	1.8398588	-0.00043592474	3.291210174560547
2	-157.57458	112.59081	-10.87018	-459.20303	90.7619	-11.043703	1.0495621	-0.8012564	-12.54573	12000	0.0129655	9174.006	-0.00068010844	-790.18176	1.8494936	-0.00014715841	4.782555103302002
3	-183.73915	124.276306	-21.37805	-409.55508	89.73684	-16.511845	1.0495231	-4.973	-17.913383	16000	0.028622866	10652.685	-0.00040323287	-716.32495	1.8143649	-0.00016449009	6.548720121383667
4	-175.73753	117.65572	-22.519053	-422.02673	96.5	-20.772623	2.7465792	19.358303	-23.38736	20000	-0.023208007	7789.211	-0.00061730295	-414.8092	1.8251241	-0.00012741535	8.8882155418396
5	-163.33452	102.095024	-11.852361	-430.26483	91.14286	-25.727337	1.809346	23.158113	-27.335684	24000	-0.024838194	7311.4023	-0.00057543814	-610.83606	1.8267112	0.00017744723	10.227466821670532
6	-137.64594	101.62114	-25.922817	-459.45132	92.875	-31.02529	0.626036	-18.300945	-32.405014	28000	0.012818165	5159.3965	-0.00058974087	-330.67722	1.8234001	0.00031476567	11.57720136642456
7	-136.08833	112.641014	-3.6045017	-484.16678	95.25714	-34.661507	1.6132194	10.736132	-36.21904	32000	-0.0158827	5221.152	-0.0010657944	-177.18451	1.8400719	-2.0045005e-05	13.536746263504028
8	-117.25516	78.448616	31.529165	-383.91293	95.933334	-37.149242	4.673456	36.10271	-39.65095	36000	-0.023621634	2553.024	-0.0009760801	-37.693024	1.8526529	0.00014911128	16.349735260009766
9	-147.79529	115.29352	20.560328	-461.88626	101.54054	-37.906048	9.48753	37.745785	-40.005466	40000	-0.008786932	6057.718	-0.0007853003	-343.45184	1.8469355	-9.618416e-05	18.00670313835144
