Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-148.38342	85.4528	4.082979	-411.61597	83.84091	-0.1131968	0.61575556	1.1876999	-2.2702403	4000	0.014576428	9144.237	-0.0012915684	-842.19543	1.8369071	-4.3432574e-05	1.4318768978118896
1	-156.72095	88.893394	-6.175145	-454.43384	82.3617	-5.15051	2.1596591	7.5149493	-13.154724	8000	0.007311955	9310.344	-0.0008734432	-720.0974	1.8598356	0.00022115672	2.515592336654663
2	-155.6456	69.104004	-0.27823773	-341.71548	83.608696	-10.0746155	3.0877526	-1.3216151	-23.043173	12000	-0.0020708628	6832.422	-0.0009785248	-654.437	1.8221356	0.00014079083	3.597071886062622
3	-156.5425	71.56165	-11.809398	-363.61572	79.78723	-13.307116	4.5343766	8.414948	-32.149582	16000	-0.015377171	7141.1006	-0.0003494965	-642.8811	1.8496649	0.00042268727	4.6724162101745605
4	-139.46562	57.284542	3.4563766	-300.82803	84.47727	-17.753267	4.145538	13.436731	-36.45637	20000	-0.009957999	4748.494	-0.0016450584	-435.97852	1.849414	0.0009626532	5.740469455718994
5	-153.60521	92.44182	7.221119	-444.46573	84.066666	-21.966164	5.5389175	11.814071	-48.894897	24000	-0.0038959235	7170.5137	-0.0011209827	-523.801	1.8526359	0.0007606866	6.791181802749634
6	-159.76746	66.06314	8.718982	-384.1415	90.85714	-25.22353	5.6393046	11.330952	-48.67086	28000	0.016107187	5427.3506	-0.0013325699	-489.3355	1.8129294	0.00029642245	7.8464202880859375
7	-154.08725	88.338425	38.734596	-450.8447	84.65909	-29.397558	5.546101	6.074824	-50.859882	32000	-0.006991923	6002.741	-0.0013866723	-369.297	1.8474194	0.0008176473	8.901259899139404
8	-150.02246	55.204502	0.47885522	-291.0928	85.844444	-33.111767	4.591284	-4.259933	-53.073666	36000	0.005520828	3417.8005	-0.00079685636	-334.84583	1.844006	0.00021465994	9.947171926498413
9	-164.6949	64.679535	-74.92084	-363.49753	92.225	-36.72235	5.0512323	-3.0295522	-59.15348	40000	0.022493646	3899.6162	-0.00097395893	-361.116	1.8606651	0.0007903157	11.306547164916992
