Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-145.03801	89.32321	25.389975	-441.18484	91.14286	-0.04014129	0.4224171	0.8170309	-1.5417303	4000	0.013648214	8242.497	-0.00046861637	-546.9612	1.8369071	8.4773164e-05	1.440274715423584
1	-157.28452	114.214584	48.75062	-549.0086	96.625	-3.189437	1.3884116	3.5955129	-7.057533	8000	0.016618207	10019.088	-0.0008410141	-477.8822	1.8598356	0.00012739419	2.4955224990844727
2	-150.70987	69.916695	-68.21417	-303.05054	89.093025	-6.559028	0.8377931	-2.7953115	-9.107549	12000	-0.0073317885	7028.2734	-0.00051261345	-449.01477	1.8223503	-3.6346464e-06	3.53735089302063
3	-147.55382	62.841713	-53.550953	-363.15805	91.38095	-9.544834	1.0644131	-0.6292262	-12.435174	16000	0.010298081	6191.7695	-0.00081462786	-348.2384	1.8500655	9.585046e-05	4.576756477355957
4	-151.8256	82.6596	-0.69915915	-379.82727	98.18421	-12.115205	1.2678205	-5.2107472	-15.660856	20000	0.006661631	6039.136	-0.0008955719	-294.43304	1.8501562	0.00036115386	5.637907981872559
5	-167.14938	87.57701	-11.499054	-398.4811	97.68421	-14.107833	1.204241	-3.9941325	-17.283876	24000	0.00532439	7230.4404	-0.0006189579	-312.91333	1.8538208	0.0001492074	6.683603525161743
6	-151.1709	79.07688	-10.46066	-364.33588	99.68421	-16.028776	2.2279553	-3.4763386	-19.200495	28000	-0.00054566935	6463.0093	-0.0003260523	-212.37415	1.8145618	-1.0112999e-05	8.019118070602417
7	-155.05461	83.44221	-7.957186	-424.488	96.075	-18.157742	1.0755529	-8.486922	-21.058348	32000	-0.022117406	5836.2	-0.0012541227	-217.04724	1.849339	0.00036432297	9.07616376876831
8	-154.99292	74.02546	-60.13409	-385.5857	94.65854	-19.791618	1.400092	-6.449161	-22.59149	36000	0.008875933	5733.6035	-0.0007044943	-222.61346	1.846005	-5.4997592e-05	10.164169073104858
9	-141.5452	72.81636	12.15445	-380.70816	95.128204	-21.500969	1.116544	-8.367028	-24.128204	40000	0.005727466	4429.8037	-0.0011824667	-150.46832	1.8627906	0.0005635219	11.526587009429932
