Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-198.54446	129.69876	38.95773	-427.60956	91.414635	0.17774227	0.1175231	0.46426818	-0.1382826	4000	-0.0015998483	16766.59	-0.0019131643	-2404.9229	1.8317797	0.0009773695	1.9225637912750244
1	-175.98796	157.17902	27.326294	-566.6282	98.02564	-11.539972	1.3359965	10.56578	-13.362664	8000	0.0021591187	14522.054	-0.0051117865	-1043.7693	1.8392587	0.0006285565	3.246975898742676
2	-160.17574	117.25727	51.500683	-501.53787	93.9	-17.89646	1.2133925	7.8420973	-19.283419	12000	-0.015625494	9502.385	-0.0030832682	-530.35754	1.8485184	0.0005428968	4.617660284042358
3	-153.01941	104.76686	2.7505336	-452.9406	98.17647	-21.475338	2.7741253	16.978815	-23.323528	16000	0.0077283084	6340.8926	-0.000992246	-302.72034	1.812614	-0.0011993516	6.471249103546143
4	-107.97307	64.9677	-19.562712	-277.27332	94.775	-24.661198	0.3144236	-22.575342	-25.382597	20000	-0.002657961	2851.4229	-0.0024148095	-151.3607	1.8227849	2.1159241e-05	7.818721294403076
5	-138.0806	85.71877	22.95371	-336.33643	99.16216	-26.577402	1.3469428	-2.5650473	-27.477392	24000	-0.0047574844	4598.1494	-0.0018120229	-226.63348	1.8240821	0.0015179032	9.11393928527832
6	-128.07234	122.75957	-12.061074	-521.3135	98.73684	-28.96415	0.4116207	-24.88532	-29.690544	28000	0.03840857	6260.2393	-0.0017021459	-183.0213	1.8205519	0.0015743657	10.442978143692017
7	-113.05893	79.189415	-15.754635	-333.15698	101.210526	-31.065168	0.5193704	-20.173256	-31.805094	32000	-0.012955442	2782.0698	-0.0012647146	-93.69672	1.8374743	0.0002598266	11.761863708496094
8	-104.59631	68.7444	7.401543	-319.23016	97.5641	-32.669033	0.27512646	-31.42986	-33.39763	36000	-0.028086342	1943.0404	-0.0018622633	-58.907867	1.8501612	0.0006996342	13.110578298568726
9	-143.37141	118.02754	-10.880503	-443.08472	104.31035	-33.58363	1.0913439	-26.92709	-34.67354	40000	0.015032291	4815.1973	-0.0015407428	-88.701416	1.8443203	0.0017801421	16.091690063476562
