Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-192.49825	101.59686	-53.12726	-413.70236	83.73913	-0.1616294	0.6534399	0.930728	-2.3121994	4000	-0.010502063	13792.975	-0.0011925027	-685.59644	1.8369071	0.00037594372	1.4349308013916016
1	-181.2192	110.24807	-20.470932	-591.2296	87.568184	-3.313128	1.5927808	2.3126574	-9.980513	8000	-0.0028699338	11992.022	-0.0013035424	-863.44934	1.8586358	0.00046660064	2.4426496028900146
2	-173.43495	92.55945	-29.26544	-460.15207	84.26667	-7.712894	2.9027495	11.994362	-17.811522	12000	-0.021657191	10379.818	-0.0005725054	-972.8772	1.8202466	-0.000125655	3.460033893585205
3	-159.28444	62.73532	-1.7875949	-330.04474	80.17391	-13.174486	3.8272686	11.297131	-29.30478	16000	0.006801717	6575.123	-0.0004671216	-894.0474	1.847194	0.00017457284	4.482937335968018
4	-153.99956	59.350574	20.396244	-341.13263	83.41304	-19.615782	4.8867	13.821433	-33.549194	20000	0.028801866	5612.8096	-0.0004926063	-883.4001	1.8466599	0.00026609708	5.503321170806885
5	-138.38504	62.58393	43.05684	-321.1912	77.081635	-26.04021	5.4641953	15.005501	-47.50635	24000	0.00191015	4257.0615	-0.0002863407	-743.4889	1.8500742	0.00016711812	6.519546270370483
6	-138.3683	62.348442	-32.421547	-353.75354	82.08889	-34.763355	6.2941093	-6.185411	-60.228428	28000	-0.0029827952	2779.6846	-0.0006753197	-478.8512	1.8105695	6.060541e-05	7.568458795547485
7	-154.98859	77.08645	-2.913726	-371.98416	83.977776	-41.209366	8.89547	4.9573755	-77.86866	32000	0.0028613508	3998.0732	-0.00028048083	-705.82556	1.8450449	0.00013767109	8.588291883468628
8	-155.98817	74.3346	0.1396328	-408.6784	89.39535	-48.748512	9.045424	13.023147	-85.033165	36000	0.004471928	3695.723	-0.00031569973	-623.23413	1.8416877	6.356912e-05	9.640539169311523
9	-140.97208	70.37615	47.43872	-390.18298	84.17778	-58.689816	7.1524363	-35.143772	-95.6353	40000	0.008622259	1882.3812	-0.00027949363	-184.72842	1.8583763	0.000118339056	11.011017322540283
