Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-881.821	278.639	-556.87317	-1668.3164	92.51219	1.0654649	0.37306866	2.5755987	0.43459678	4000	-0.0058657182	216303.75	-0.00081710937	-3472.6914	1.8369071	0.0002426616	1.8696067333221436
1	-859.0962	214.28186	-646.0936	-1410.1973	90.666664	-3.1885805	1.1497393	-1.6690365	-7.330763	8000	0.028475221	195405.4	-0.00051538274	-4554.496	1.8592356	0.00013513684	3.2396795749664307
2	-833.7182	200.48062	-571.5968	-1530.0306	92.2381	-9.202343	3.7747002	-3.875056	-23.907686	12000	0.0034252033	183033.69	-0.0017939936	-6573.336	1.8211775	0.0007492455	4.627671241760254
3	-810.5246	172.25693	-623.5761	-1543.5859	87.093025	-18.61188	8.545333	-7.202992	-52.12267	16000	0.024012478	167526.53	-0.0010700454	-8640.098	1.8485558	0.00022652996	5.811085224151611
4	-780.4853	136.47539	-609.28375	-1282.6067	86.77273	-31.291862	14.769033	-11.117144	-85.501945	20000	0.008825019	152008.56	-0.0006274078	-9728.207	1.8484567	-0.0003441691	7.003679513931274
5	-754.7122	125.2063	-578.9138	-1290.2136	84.333336	-47.729485	22.701115	-16.816912	-130.46136	24000	-0.004951885	136325.84	-0.00029196404	-10376.305	1.8521047	0.00014720182	8.221372842788696
6	-804.49164	171.29411	-592.546	-1338.8663	87.60465	-69.902405	35.53171	-20.05276	-185.6696	28000	0.02636782	136820.3	-0.00060269516	-13130.672	1.8127141	0.00011906919	9.420750856399536
7	-789.8463	183.60352	-591.4244	-1413.9806	88.441864	-93.73139	46.909954	-28.714993	-259.47256	32000	0.003381919	120953.84	-0.00086643756	-11467.178	1.8474464	3.7340942e-06	10.638880014419556
8	-805.8627	183.11562	-624.7348	-1408.6091	89.60465	-121.28217	58.518085	-34.73973	-314.47647	36000	0.024088547	111086.625	-3.6042184e-06	-11589.828	1.8443248	0.0001674182	11.856147527694702
9	-782.253	158.41118	-591.6635	-1279.9585	85.568184	-146.6491	66.13604	-17.138361	-363.5495	40000	-0.0048227645	95146.05	-0.00035056146	-9420.131	1.8612951	-0.0002096786	13.370816230773926
