Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-343.5323	171.01312	50.6419	-642.35474	96.675	0.13165915	0.12043985	0.74565357	-0.09692492	4000	0.0019366592	41285.656	-0.0013834815	-7089.5967	1.8317796	0.00038767187	1.9362447261810303
1	-384.08087	172.15437	20.345196	-641.6299	103.21875	-18.935799	7.009672	-4.8446918	-43.635	8000	-0.0069964826	34952.027	-0.0014032254	-12491.066	1.8392588	-0.00015521092	3.8664093017578125
2	-371.26282	155.44093	-51.193222	-645.78436	102.72973	-68.35201	3.1865847	-36.659794	-69.66231	12000	0.012495786	20514.666	-0.0011796653	-4274.8896	1.8483334	-0.000256292	5.197645425796509
3	-328.1436	166.79192	-25.01181	-638.473	103.10811	-88.20287	4.7802277	-27.949478	-88.92031	16000	-0.007842086	14302.428	-0.00089215115	-1859.2743	1.8128015	-4.965342e-05	6.543318033218384
4	-269.50006	173.88727	-12.91424	-564.4676	96.53846	-98.91856	8.686212	-32.99812	-101.75832	20000	0.002299277	10093.066	-0.0011366587	-1108.4036	1.823067	-0.00047996177	7.867955923080444
5	-378.61884	159.61229	-81.30514	-687.5292	105.0	-101.76808	14.715316	-32.193184	-110.51958	24000	-0.017519921	13780.978	-0.0017488152	-3034.0967	1.8243916	0.00020842066	9.20884084701538
6	-376.76813	155.69893	-19.892675	-689.3526	105.5	-122.62251	14.233803	-35.479202	-129.38768	28000	-0.0008112341	9673.58	-0.0013318434	-1610.8367	1.8208562	0.0008530263	10.539774417877197
7	-305.9231	144.06862	-22.70674	-557.1199	108.2	-131.9686	18.138916	-34.77855	-142.60252	32000	0.014896631	4749.286	-0.0012180246	-511.96436	1.8372815	0.0002100025	11.906523942947388
8	-352.61246	154.32025	-7.2566023	-567.20905	100.92105	-137.55215	23.6304	-42.253414	-149.84761	36000	0.014602423	6100.0654	-0.0012230782	-1056.3031	1.8498383	0.00035341078	13.254286050796509
9	-252.76349	150.54884	-34.649654	-525.94257	103.27027	-119.802376	41.138763	-14.861785	-159.47055	40000	-0.023898087	3552.8164	-0.002059821	-561.5348	1.8442612	-0.0007160115	14.892964124679565
