Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-242.22151	133.23805	-54.108017	-487.63522	93.39024	0.28692347	0.18987703	0.74665743	-0.3268934	4000	0.016811624	23098.682	-0.004173899	-3279.0532	1.8317795	0.0026323264	1.8883941173553467
1	-165.58508	125.46551	0.4049286	-515.5741	85.888885	-12.351277	1.4072315	1.594197	-13.73269	8000	-0.012867689	11427.759	-0.0026608016	-963.95703	1.8398585	0.0006211401	3.168877124786377
2	-133.42284	109.39297	-2.8221817	-502.7438	95.29269	-18.702658	0.8591177	-0.58266044	-19.16587	12000	-0.003625229	6956.37	-0.0014717306	-401.18268	1.8490705	-0.0006394788	4.483285903930664
3	-117.9761	96.1668	53.108414	-324.85028	90.2381	-22.781376	0.40403834	-14.008261	-23.001335	16000	-0.012212515	5014.003	-0.0036555193	-262.84082	1.8136034	0.00064142374	5.810760259628296
4	-146.5716	89.3864	-29.38413	-395.3047	91.46342	-25.98585	1.5123821	18.380215	-26.282076	20000	-0.014974028	5425.991	-0.0016868516	-448.22046	1.8239617	0.0003563888	7.104694128036499
5	-103.05003	63.428005	-6.4654284	-320.94186	96.69231	-30.38805	0.3606055	-24.721384	-30.509212	24000	-0.020638384	2068.0837	-0.0015922665	-99.10684	1.8252966	0.0003520153	8.385002374649048
6	-104.724205	86.84502	-6.9484267	-346.2029	94.72222	-32.603172	0.6958206	-25.816545	-32.765068	28000	0.0021620244	3208.8818	-0.0018739731	-81.809814	1.8217733	0.0008847435	9.868423223495483
7	-95.554146	62.50068	9.224586	-281.35168	98.10526	-34.608665	1.2721573	-6.33005	-34.759296	32000	-0.007804595	1662.072	-0.0013576113	-68.51062	1.8382666	0.00038230378	11.170071601867676
8	-86.95382	65.79626	8.426118	-338.36203	97.0	-36.367832	0.5945666	-20.25401	-36.458298	36000	0.0018219948	1771.887	-0.0018627364	-34.41275	1.8506855	0.00052658794	12.490834474563599
9	-85.55471	51.91508	28.388275	-220.35126	99.26316	-37.481205	0.30890295	-31.822647	-37.58293	40000	0.01841229	1353.071	-0.0020994619	-16.902557	1.8448668	0.0013487642	14.092098474502563
