Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-152.46033	71.77522	-70.015366	-354.80508	80.3125	-0.10158333	0.5555469	0.99615526	-1.7496022	4000	-0.01026316	9213.878	-0.0011550039	-514.45715	1.8369071	3.589207e-05	1.4855539798736572
1	-159.92607	72.979225	0.625378	-370.64838	88.74419	-3.0983217	0.97057736	2.1116197	-6.8249903	8000	-0.029812798	8738.539	-0.0007514269	-725.2141	1.8592367	0.00016370213	2.5253169536590576
2	-149.40237	82.39073	-6.0798597	-487.6945	82.652176	-7.124304	1.7681612	4.9183903	-17.97347	12000	0.022135723	7478.3555	-0.00083029736	-779.54144	1.8207389	-0.00015096634	3.556025743484497
3	-163.92842	87.019615	-12.13431	-424.81152	81.702126	-11.997889	3.5715818	15.24944	-25.429495	16000	0.01914148	9282.037	-0.00014665723	-1116.2224	1.8479462	0.0002646543	4.606955289840698
4	-144.83824	76.337494	-43.022438	-486.76517	83.35555	-20.03802	2.8569422	1.7662354	-33.706375	20000	0.024363212	5358.3955	-0.00067812577	-982.95703	1.8476568	0.00033444923	5.65200400352478
5	-136.0187	78.528015	56.0857	-400.6168	84.391304	-27.633005	4.0863214	3.983412	-42.008156	24000	0.0049806163	4620.418	-0.0010534134	-622.7945	1.8511448	0.00010209937	6.703923940658569
6	-154.11626	59.47513	-77.1142	-338.48337	87.11364	-34.648468	5.8565483	24.2315	-63.1537	28000	-0.0065117553	3691.624	-0.00061138533	-752.5127	1.8116904	0.00028087024	7.780740022659302
7	-164.97423	85.01546	-15.90628	-419.4002	88.16279	-44.482838	5.5029573	-26.369034	-76.79144	32000	-0.018167496	3917.7432	-0.0011942433	-789.7737	1.846201	0.0002669281	8.840592622756958
8	-157.05579	65.52818	-86.44135	-394.09192	84.27273	-53.16478	6.398905	6.4732184	-86.13074	36000	-0.011200406	2446.9683	-0.0004991703	-507.8274	1.8428434	0.00025276752	9.905155658721924
9	-160.70683	71.2591	-14.013807	-368.85992	86.36364	-63.34406	7.993917	-12.847045	-118.04616	40000	0.0011389814	2405.2837	-0.00058134645	-348.0996	1.8594732	0.00041277907	11.249352216720581
