Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-746.01184	166.6664	-564.0558	-1330.0502	92.36585	0.51057047	0.11643531	1.0903611	0.29782927	4000	0.014593685	153674.12	-0.0005922802	-1538.2188	1.8369071	0.00040066824	1.5591776371002197
1	-772.323	201.27942	-493.87674	-1364.3726	102.83784	-1.6209685	0.27903676	-0.84530544	-2.2018473	8000	0.016299807	152698.94	-0.0003380943	-1623.7969	1.8598367	9.864504e-05	2.769263505935669
2	-784.4035	198.64977	-572.5383	-1368.883	96.35	-3.9498453	0.65972716	-2.7199323	-5.0241413	12000	0.021651872	159776.16	-0.0006524925	-1915.7266	1.8220718	0.0003148441	3.945906639099121
3	-729.70953	134.04005	-489.94305	-1142.8523	96.15	-6.4457536	0.9663155	-3.504702	-8.023834	16000	-9.17539e-05	137036.6	-0.0009445629	-1734.6816	1.849895	1.7708075e-05	5.126776218414307
4	-715.96857	115.83406	-457.98663	-1169.0044	90.674416	-8.982525	1.0784438	-6.6130724	-10.660127	20000	0.006094873	134876.45	-0.00080515444	-1780.2598	1.8499776	-0.00017587809	6.292090177536011
5	-683.8085	155.94571	-470.91907	-1270.6554	90.333336	-11.477498	1.2357392	-5.7797947	-13.231804	24000	0.0037662685	128676.47	-0.00038529932	-1679.2305	1.8537188	-3.399563e-05	7.459774732589722
6	-756.354	185.47865	-394.97992	-1211.9657	99.28205	-14.103013	1.2756988	-10.398911	-15.569912	28000	-0.004505232	139771.81	-0.0008907042	-1830.1367	1.814478	0.00015854617	8.636156558990479
7	-759.159	175.8428	-491.8383	-1251.0582	101.47369	-16.681435	1.2673914	-13.211558	-18.00945	32000	0.0062144883	136803.22	-0.0004262859	-1863.4609	1.8491616	-9.501539e-05	9.836623430252075
8	-718.11676	109.062355	-526.7315	-1104.7495	98.871796	-19.251833	1.2970891	-8.277754	-20.644276	36000	0.031869575	120589.42	-0.0005096495	-1762.3145	1.8460408	7.455139e-05	10.999519109725952
9	-666.38464	88.13671	-431.20258	-811.1807	90.14286	-21.94211	1.2364836	-7.6593256	-23.327671	40000	-0.009311032	110850.086	-0.0005346454	-1770.9551	1.8630439	-0.00021133671	12.465004444122314
