Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-160.79115	84.80226	37.47109	-380.28955	94.07317	0.0069367886	0.3105683	0.7841608	-0.9274166	4000	-0.022510976	9281.154	-0.0005693305	-253.20056	1.8369071	-0.00011443853	1.4859859943389893
1	-139.26208	85.910034	-54.165314	-496.91077	95.475	-1.5510184	0.38796225	-0.4742001	-2.7103286	8000	0.007847063	6997.004	-0.00053690374	-268.2959	1.8586366	5.0078197e-05	2.5600061416625977
2	-180.43068	83.266655	-83.93263	-375.97037	98.947365	-3.3883927	0.8828508	1.3133997	-5.6437426	12000	-0.0108358525	9078.193	-0.00069298036	-444.58875	1.8200388	2.5045929e-05	3.639035940170288
3	-164.05904	90.94019	-42.8784	-405.3432	93.52631	-5.811092	1.4440519	3.7507257	-8.818858	16000	-0.0032033324	8176.9214	-0.00037281215	-348.8855	1.8472763	0.00013190779	4.774039030075073
4	-171.22234	101.469505	-20.887253	-522.57007	92.07143	-8.453589	1.5503284	6.128382	-12.072038	20000	-0.025964178	9706.413	-0.00017071515	-481.41284	1.846955	0.0001506815	5.833885908126831
5	-182.3794	108.50568	7.1740146	-513.4274	95.775	-11.227843	1.1291707	-0.77364504	-13.991471	24000	-0.0137653565	10693.992	-0.00017583091	-558.5432	1.8501103	8.310318e-05	6.904221057891846
6	-163.75009	73.37898	-54.94465	-351.89767	98.1	-14.515216	0.7919666	-4.9431086	-17.897417	28000	-0.003943015	6182.573	-0.000312984	-395.53906	1.8102404	1.5868562e-05	7.977450609207153
7	-182.27557	85.66716	-51.206684	-370.03836	97.5	-17.32558	1.0433686	-6.0999994	-20.490818	32000	-0.016291037	7674.1074	-0.0003774613	-454.88574	1.8443702	0.0001276801	9.056028366088867
8	-137.16794	101.62207	46.037853	-543.289	94.439026	-20.182152	1.2559173	-7.6566954	-24.100475	36000	0.016468279	5754.6357	-0.00032304972	-222.51587	1.8407242	4.2728127e-05	10.114795207977295
9	-155.48201	90.69456	-38.20531	-432.60165	90.11628	-22.402351	1.4870344	-4.5228806	-26.43825	40000	-0.03568469	6375.995	-6.387383e-05	-364.2036	1.8571913	9.3394025e-05	11.482717037200928
