Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-143.03687	92.425835	33.078423	-389.19077	97.25641	0.012005422	0.42634517	0.8986298	-1.4075706	4000	0.008787774	8770.871	-0.0005298676	-337.66077	1.8369071	-7.657116e-05	1.457369327545166
1	-156.9672	92.43638	23.47943	-427.89337	92.97561	-1.9543425	0.894965	2.4296246	-4.750311	8000	0.011737168	9422.673	-0.00032196287	-480.97314	1.8592367	6.300525e-05	2.551663637161255
2	-157.6679	84.13761	-77.1185	-404.0526	95.05	-5.0048065	0.9610544	1.2490969	-7.6054897	12000	-0.003278546	8234.06	-0.0007760562	-619.72876	1.821127	0.00018463549	3.60884428024292
3	-138.56943	49.412815	22.70817	-283.5154	93.85366	-9.004716	0.96599495	-2.9110181	-11.748651	16000	-0.013129511	5103.01	-8.05271e-05	-474.76074	1.8485072	-4.4574153e-05	4.673369884490967
4	-167.41548	77.264015	-66.10364	-358.18942	99.45946	-12.818578	1.2248367	-3.7880466	-15.581465	20000	0.017507687	7007.2896	-0.00012630923	-643.7837	1.8482038	-4.494017e-05	5.748017072677612
5	-157.67178	79.10279	-75.90745	-419.25302	86.72727	-17.430805	1.4431707	-4.214529	-20.337759	24000	0.020322565	6766.2754	-0.00034133345	-574.918	1.8516597	6.4857304e-05	6.796106815338135
6	-167.08832	82.872246	11.313812	-370.19513	94.025	-21.515509	1.9676756	-3.2593024	-24.450012	28000	-0.0117244795	7040.7725	-0.00025084242	-544.30176	1.8122503	-4.818142e-06	7.855267763137817
7	-163.24504	83.803825	-28.651089	-357.81702	92.35714	-25.564053	1.1354983	0.45109832	-28.067646	32000	0.009937055	5542.1997	-0.00030935556	-421.25043	1.8467791	0.00015387256	8.925173282623291
8	-131.00392	60.5593	44.364456	-305.86002	88.47727	-29.009783	1.3992207	-15.526674	-31.1841	36000	-0.025124833	3253.0837	-0.00039264932	-205.77847	1.8435119	-5.5656463e-05	9.978780508041382
9	-142.99506	75.38342	-8.730778	-371.82968	93.07317	-31.40978	1.6893934	-5.534728	-33.55724	40000	0.016541183	4158.58	-0.0002437476	-251.449	1.860177	8.602938e-05	11.366426467895508
