Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-889.48193	271.56104	-473.93817	-1549.1104	86.77778	0.59601796	0.1871803	1.1658398	0.32612118	4000	0.0310064	234738.7	-0.0024335682	-43805.395	1.8317795	0.010749869	2.094202756881714
1	-902.92804	278.1969	-488.5455	-1680.6365	89.62791	-55.20426	14.0743885	-37.594025	-114.37219	8000	-0.020245902	190952.4	-0.004524353	-98103.42	1.8398596	0.0070589	3.6088340282440186
2	-876.46985	219.7365	-536.96545	-1430.0132	90.21429	-269.10757	98.43222	-133.69255	-596.386	12000	0.007658284	89816.16	-0.0018453246	-39491.63	1.8493083	0.0040992554	5.1160008907318115
3	-885.7532	250.89037	-578.5141	-1536.2285	89.0	-370.90182	73.989494	-207.42798	-579.1723	16000	0.007977258	53737.375	0.0005785641	-29284.723	1.8139573	0.00083576515	6.647116661071777
4	-774.29297	165.23492	-487.22406	-1306.196	83.23913	-420.27567	43.90983	-129.72647	-540.3796	20000	0.0047436133	17524.871	-0.0032702975	-8877.387	1.8244596	0.0006056827	8.147129535675049
5	-793.3353	178.05962	-553.9659	-1258.3513	86.25	-395.67337	79.554474	-98.43789	-532.8437	24000	-9.468943e-05	8592.829	-0.0010053404	-2029.4884	1.8260515	0.0034381128	9.679721117019653
6	-849.2218	231.82553	-491.95526	-1246.2098	93.63415	-416.57068	110.268845	-99.593575	-595.4067	28000	0.058864627	7526.9297	-0.0019622575	-638.9191	1.8228786	0.00515489	11.161019325256348
7	-758.3361	225.41798	-467.28986	-1279.2019	89.92857	-428.16406	106.97922	-77.80395	-613.0272	32000	0.0052659065	8137.3535	-0.0039395625	-1107.0361	1.8398261	0.0062054098	12.642041206359863
8	-702.75494	147.0428	-459.21387	-1165.825	84.818184	-394.07693	99.24783	-84.85314	-561.59644	36000	0.04482374	6319.675	-0.003741078	-729.36145	1.8526902	0.0054409006	14.116929292678833
9	-726.8921	191.22217	-367.7667	-1317.1406	88.34091	-374.65604	107.31341	-61.266445	-547.60834	40000	-0.0006416887	7217.573	-0.0074271346	-201.45712	1.8473699	0.0017976323	15.874874353408813
