Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-225.4529	158.56522	-15.547232	-564.8621	94.46154	0.27417445	0.19533303	0.8614611	-0.30173844	4000	-0.011116952	21516.914	-7.76425e-05	nan	1.8317797	8.613229e-06	1.842250108718872
1	-209.47414	143.74774	-32.84521	-562.8938	90.36585	nan	nan	nan	nan	8000	nan	nan	nan	nan	1.8392453	nan	3.1839940547943115
2	-133.31401	37.03169	24.36549	-200.00507	70.35714	nan	nan	nan	nan	12000	nan	nan	nan	nan	nan	nan	4.336247444152832
3	-132.76862	40.253353	14.851419	-214.1174	72.65385	nan	nan	nan	nan	16000	nan	nan	nan	nan	nan	nan	5.49374532699585
4	-128.16095	37.817127	14.058239	-200.88464	67.47369	nan	nan	nan	nan	20000	nan	nan	nan	nan	nan	nan	6.655131816864014
5	-136.19551	45.70263	0.70056933	-370.55698	69.41071	nan	nan	nan	nan	24000	nan	nan	nan	nan	nan	nan	7.787897348403931
6	-125.47379	46.157375	22.039097	-203.59634	72.81481	nan	nan	nan	nan	28000	nan	nan	nan	nan	nan	nan	8.942985534667969
7	-132.68985	46.257748	13.990006	-302.37936	69.92727	nan	nan	nan	nan	32000	nan	nan	nan	nan	nan	nan	10.083473443984985
8	-130.71762	35.465614	45.58313	-187.47118	69.0	nan	nan	nan	nan	36000	nan	nan	nan	nan	nan	nan	11.250884771347046
9	-125.841095	50.841145	30.896626	-215.31186	73.471695	nan	nan	nan	nan	40000	nan	nan	nan	nan	nan	nan	12.702581644058228
