Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-393.35358	133.99542	-106.74909	-632.8144	99.289474	0.13073376	0.12821873	0.7980749	-0.092216976	4000	-0.025581487	47336.9	-1.4916062e-05	-41145.848	1.8317796	2.1470637e-06	1.7634468078613281
1	-382.29514	187.50023	11.674254	-642.71826	95.7	1483.3469	44587.117	1679144.5	-204.33812	8000	-0.006333109	1990592400.0	-9.940006e-06	nan	1.839228	-2.0483583e-06	3.0561792850494385
2	-362.90247	156.09503	-75.822754	-617.85065	97.1579	nan	nan	nan	nan	12000	nan	nan	nan	nan	1.8484898	nan	4.334998607635498
3	-141.0861	33.00732	-79.19536	-304.51123	67.75862	nan	nan	nan	nan	16000	nan	nan	nan	nan	nan	nan	5.41243052482605
4	-131.40742	34.47899	19.099781	-219.13698	69.98182	nan	nan	nan	nan	20000	nan	nan	nan	nan	nan	nan	6.4946653842926025
5	-129.9351	30.917498	-42.65226	-193.72565	71.41818	nan	nan	nan	nan	24000	nan	nan	nan	nan	nan	nan	7.5750579833984375
6	-125.80691	49.945927	24.885693	-243.55815	70.375	nan	nan	nan	nan	28000	nan	nan	nan	nan	nan	nan	8.687538623809814
7	-130.68762	29.201284	-19.28403	-183.8898	70.01818	nan	nan	nan	nan	32000	nan	nan	nan	nan	nan	nan	9.77973198890686
8	-130.11089	42.75395	14.825019	-264.50763	69.01786	nan	nan	nan	nan	36000	nan	nan	nan	nan	nan	nan	10.861976623535156
9	-134.07169	35.675446	-41.776882	-266.2474	73.30189	nan	nan	nan	nan	40000	nan	nan	nan	nan	nan	nan	12.262782096862793
