Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-218.44264	150.84398	-6.3217554	-487.75705	87.318184	0.53229564	0.27339637	1.188616	-0.5508078	4000	-0.012897447	22777.39	-0.00022528414	nan	1.8317796	2.2031309e-05	1.7800078392028809
1	-179.3834	128.22711	-2.0699193	-488.001	87.23256	nan	nan	nan	nan	8000	nan	nan	nan	nan	1.8392432	nan	3.1454763412475586
2	-132.64406	41.04271	-4.0374436	-287.4129	72.203705	nan	nan	nan	nan	12000	nan	nan	nan	nan	nan	nan	4.320721864700317
3	-119.815605	50.97196	44.642162	-233.74323	69.05357	nan	nan	nan	nan	16000	nan	nan	nan	nan	nan	nan	5.483154296875
4	-136.11842	44.785515	12.064899	-330.77158	68.83929	nan	nan	nan	nan	20000	nan	nan	nan	nan	nan	nan	6.640048980712891
5	-127.56362	43.16213	-1.3350952	-276.51382	70.0	nan	nan	nan	nan	24000	nan	nan	nan	nan	nan	nan	7.807101011276245
6	-140.1158	30.600948	-89.806496	-281.7537	70.218185	nan	nan	nan	nan	28000	nan	nan	nan	nan	nan	nan	8.961859941482544
7	-132.93575	45.731697	18.988403	-255.02892	66.36207	nan	nan	nan	nan	32000	nan	nan	nan	nan	nan	nan	10.133006811141968
8	-137.32239	46.272865	52.757603	-290.8745	71.754715	nan	nan	nan	nan	36000	nan	nan	nan	nan	nan	nan	11.301731586456299
9	-124.356125	38.873634	33.74134	-192.0354	67.47369	nan	nan	nan	nan	40000	nan	nan	nan	nan	nan	nan	12.768864870071411
