Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-210.79623	153.02165	-9.182782	-568.28345	93.36585	0.18418905	0.108390875	0.45194995	-0.21491605	4000	-0.0018693209	20064.422	-2.304092e-05	-16158.029	1.8317795	3.4078805e-06	1.756927490234375
1	-158.38809	137.26793	9.675714	-501.90933	93.80488	-101.617386	48.760715	45.181545	-191.81406	8000	-0.0023311824	3276.0015	-3.741402e-05	-790.872	1.8392563	-1.3876141e-05	3.0571539402008057
2	-161.32901	117.750275	-3.2158716	-445.79657	94.268295	-84.26034	47.775013	-9.554802	-202.65376	12000	-0.018081896	2483.5781	-3.360957e-05	-764.63525	1.8485255	-5.982757e-06	4.370071172714233
3	-166.27258	133.10587	14.7314415	-649.6991	97.0	-91.17614	50.111046	-4.9795327	-200.75294	16000	0.013534522	3999.243	-2.6306137e-05	-753.0893	1.8130512	-8.078262e-06	5.733178615570068
4	-226.68297	145.34766	-18.129929	-469.1606	93.21951	-118.1153	53.354626	-14.819141	-205.76782	20000	-0.0035651438	2699.3877	-0.00015857909	-549.2532	1.8234437	-4.4312685e-05	7.0788185596466064
5	-141.63295	106.979866	9.713501	-469.7856	91.92683	-90.67361	52.68533	-17.975842	-216.812	24000	-0.002382366	1684.2405	-6.86869e-05	-637.3644	1.824873	3.9829315e-06	8.401443004608154
6	-250.37381	150.206	-44.086163	-594.6388	95.6	-119.70386	62.232903	-24.251095	-224.4193	28000	0.016392894	3892.961	-9.471644e-05	-1782.9585	1.8215415	1.9333751e-05	9.70850920677185
7	-235.75052	138.40997	-44.182648	-572.7478	95.333336	-136.5733	57.86714	-14.225	-227.16296	32000	0.011910152	3395.3723	-0.00014642626	-860.9154	1.8381743	-4.5659845e-06	11.006737232208252
8	-220.18318	136.7157	-53.953293	-520.88324	92.575	-120.39666	54.834557	-39.681313	-212.87914	36000	0.019319035	2930.8433	-0.00014584186	-802.44775	1.8507645	5.188779e-06	12.3541738986969
9	-172.90799	118.19589	5.492589	-390.2121	90.47619	-102.35008	52.42691	-37.676437	-237.14412	40000	-0.00542436	2666.5742	-8.027442e-05	-1330.8711	1.8451086	-3.4943223e-05	13.960456132888794
