Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-173.48476	99.32546	9.712644	-552.319	85.181816	-0.1716584	0.6429516	1.0533658	-2.6229048	4000	-0.0018664896	11407.484	-0.074725494	-116.17944	1.8369071	0.54541093	1.4396262168884277
1	-225.54312	136.05174	-36.379597	-509.97632	115.5	-0.3612937	0.7056696	1.9217027	-3.577848	8000	0.005499266	15233.412	-6.03497e-07	-47.63501	2.856462	-4.7340984e-07	2.6649703979492188
2	-221.30121	129.09535	7.5883284	-479.2908	112.5	-0.40944275	0.75062007	1.8676587	-3.286441	12000	-0.0074408352	15546.908	-1.524575e-06	-43.060547	2.8181849	-1.2063085e-06	3.8578290939331055
3	-267.371	167.75792	-47.59261	-601.91815	113.757576	-0.75291216	0.7699083	1.5878792	-3.88957	16000	0.013782233	22617.914	-6.444752e-07	-44.597656	2.8454397	-6.098152e-07	5.081834554672241
4	-270.7019	138.4548	-39.62606	-543.00415	115.333336	-0.9480392	0.8122572	0.694209	-3.8516521	20000	-0.010631755	21161.125	-9.927899e-07	-40.951416	2.8451347	5.18322e-07	6.31042742729187
5	-274.4788	154.0517	23.857933	-532.6635	136.5	-0.919819	0.7851397	0.90910596	-4.049235	24000	0.012301534	19191.46	-1.8626451e-06	-22.590942	2.8484719	-2.3564695e-07	9.333916902542114
6	-245.54985	120.270096	-11.442861	-529.15643	116.0625	-1.1008327	0.7931608	1.0006106	-4.5412292	28000	-0.010012567	16800.99	-7.4133277e-07	-26.20337	2.8089082	-3.817678e-08	10.492989540100098
7	-238.60522	151.35663	-8.910159	-544.4041	105.611115	-1.2592639	0.7726989	0.8740215	-4.7287292	32000	0.022556245	19106.242	-2.130866e-06	-27.454346	2.843307	-2.6550896e-07	11.666832685470581
8	-241.48393	136.67224	-22.519558	-491.4436	110.11429	-1.3962674	0.70916224	1.1082857	-4.258549	36000	0.0073402673	17983.807	-7.147901e-07	-25.114014	2.8399508	-6.905199e-08	12.858253717422485
9	-232.37329	127.66324	4.5949025	-475.23322	108.22857	-1.408688	0.75335205	0.8731284	-4.1563454	40000	-0.003034085	16463.008	-2.4726614e-06	-23.9458	2.8565917	2.2129416e-06	14.18860936164856
