Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-161.46243	92.1375	-13.192496	-469.2716	90.83721	-0.054988246	0.4324466	0.71654695	-1.4884653	4000	0.030984452	9763.613	-0.047461182	-64.46802	1.8369071	0.44274205	1.4511284828186035
1	-221.47382	138.01495	-10.5645275	-536.5387	104.97222	-0.22171158	0.44448152	0.68036455	-1.5527819	8000	-0.006771818	16460.309	-1.3108365e-06	-43.69165	2.8544917	-9.3579274e-08	2.6050779819488525
2	-272.04428	156.65681	-31.533754	-606.5136	111.70588	-0.44042423	0.40412557	0.5472844	-1.9141449	12000	-0.035143793	22385.97	-3.7043355e-06	-38.181396	2.8161914	-2.4057924e-06	3.7395131587982178
3	-248.1332	157.90652	-27.673866	-600.00446	106.361115	-0.5723857	0.37632045	0.49260142	-1.9117209	16000	0.0033382475	21391.531	-1.2367964e-06	-31.214111	2.8433952	-2.429187e-07	4.88896632194519
4	-232.0583	139.9828	16.807652	-519.8236	120.181816	-0.74368614	0.30872166	0.40977725	-1.9779732	20000	-0.011555076	17342.928	-1.2665987e-06	-24.289307	2.8430707	-2.9593679e-08	6.064365863800049
5	-245.33055	130.75766	-6.1983314	-546.3187	103.942856	-0.8034602	0.36780435	0.4207574	-2.0910962	24000	-0.01709187	17789.59	-7.4505806e-07	-19.628662	2.846406	4.7510864e-07	7.248034238815308
6	-200.99976	132.71089	-0.09012455	-539.31055	115.878784	-0.8839234	0.32438132	0.35167763	-2.1527858	28000	-0.010935754	13385.65	-1.3504177e-06	-13.968994	2.8067875	-4.3272973e-07	8.450451135635376
7	-228.46013	136.94286	-50.68026	-502.7796	107.02778	-0.9806436	0.37997562	-0.22413483	-2.5438635	32000	-0.01390747	17705.605	-9.2945993e-07	-19.618408	2.8411849	5.4389233e-08	9.589765548706055
8	-249.41455	119.546974	-45.52004	-440.39566	118.46667	-1.0008763	0.3969251	0.8219088	-2.3185737	36000	0.016429447	16389.418	-3.4626573e-06	-17.88208	2.8377604	-6.7901607e-07	10.776822328567505
9	-268.66223	142.60457	-38.911587	-540.3558	112.44118	-1.1845242	0.40341067	-0.05010927	-2.4843001	40000	-0.037870817	21304.957	-3.1664968e-06	-23.328613	2.8544168	2.6446583e-07	12.123517990112305
