Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-158.63635	88.776665	-60.759563	-454.2335	88.97619	-0.00666819	0.4186726	0.8417964	-1.326389	4000	0.018536866	9336.877	-1.4804304e-05	43.613403	1.8369071	2.2139548e-06	1.7102234363555908
1	-160.36304	80.05881	-57.60904	-379.02286	99.947365	0.26458672	0.40623233	1.4400872	-0.95828795	8000	-0.020621017	8797.771	-2.1267682e-05	nan	1.8592559	9.758475e-07	2.8539350032806396
2	-166.87839	82.757904	-38.14263	-363.19394	96.12195	nan	nan	nan	nan	12000	nan	nan	nan	nan	1.8209301	nan	3.9702200889587402
3	-126.84471	35.53063	17.810047	-177.14038	67.80357	nan	nan	nan	nan	16000	nan	nan	nan	nan	nan	nan	4.917546510696411
4	-132.55235	48.0767	20.187841	-344.52533	69.23214	nan	nan	nan	nan	20000	nan	nan	nan	nan	nan	nan	5.8528923988342285
5	-136.14725	52.033367	24.140175	-362.47766	69.08929	nan	nan	nan	nan	24000	nan	nan	nan	nan	nan	nan	6.819010972976685
6	-136.16339	46.122288	27.56385	-212.07796	71.90741	nan	nan	nan	nan	28000	nan	nan	nan	nan	nan	nan	7.759173631668091
7	-133.32762	33.9061	6.4895873	-223.42549	68.26786	nan	nan	nan	nan	32000	nan	nan	nan	nan	nan	nan	8.70837140083313
8	-125.72971	44.82247	29.932941	-262.57956	66.73684	nan	nan	nan	nan	36000	nan	nan	nan	nan	nan	nan	9.66373610496521
9	-131.11728	44.56336	16.53034	-294.1135	69.30357	nan	nan	nan	nan	40000	nan	nan	nan	nan	nan	nan	10.816340923309326
