Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-360.62146	188.68301	-23.411526	-647.1541	91.97619	-0.31569684	0.1269619	-0.020098478	-0.7666714	4000	-0.0072488636	44212.055	-2.984982e-05	nan	1.8237762	-1.2745426e-05	2.457399606704712
1	-417.17117	147.2831	-121.579414	-644.16156	91.92683	nan	nan	nan	nan	8000	nan	nan	nan	nan	1.8209054	nan	4.199526786804199
2	-141.42928	37.343395	-14.125894	-226.36151	72.5	nan	nan	nan	nan	12000	nan	nan	nan	nan	nan	nan	5.725980520248413
3	-142.07889	57.60722	8.683547	-355.39398	68.98214	nan	nan	nan	nan	16000	nan	nan	nan	nan	nan	nan	7.126862287521362
4	-134.65799	37.89677	6.9995484	-202.29121	71.57407	nan	nan	nan	nan	20000	nan	nan	nan	nan	nan	nan	8.306453466415405
5	-128.6746	47.705307	15.363741	-316.79108	71.90741	nan	nan	nan	nan	24000	nan	nan	nan	nan	nan	nan	9.490889072418213
6	-135.3859	42.33504	-1.3418818	-359.58282	68.545456	nan	nan	nan	nan	28000	nan	nan	nan	nan	nan	nan	10.667360782623291
7	-136.27815	28.985556	-19.265642	-212.21434	67.52631	nan	nan	nan	nan	32000	nan	nan	nan	nan	nan	nan	11.851603746414185
8	-126.180084	38.588287	35.75788	-197.14331	66.066666	nan	nan	nan	nan	36000	nan	nan	nan	nan	nan	nan	13.04170298576355
9	-129.77995	40.42647	26.132542	-226.06412	71.28302	nan	nan	nan	nan	40000	nan	nan	nan	nan	nan	nan	14.474914073944092
