Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-399.29987	154.97789	-83.49238	-644.6249	96.871796	0.12763414	0.13113277	0.85767215	-0.102584526	4000	-0.0044384296	49500.16	-1.9228086e-05	451.95312	1.8317796	3.0460205e-06	2.306255578994751
1	-369.63434	202.9943	7.1930084	-698.0453	103.5946	1.1119032	0.44036764	2.4760942	-0.21066879	8000	-0.0014645308	43955.18	-4.343735e-05	-95.28516	1.8392539	-1.3599247e-05	3.866793155670166
2	-349.91577	191.9062	-50.769535	-642.75604	98.61539	0.93469054	0.4508347	3.2272983	0.13563377	12000	0.00077313185	45089.37	-4.663691e-05	-2050.4775	1.8485241	-1.0395943e-05	5.409510850906372
3	-324.3274	170.59447	2.9474902	-590.3259	96.81579	-4.4623423	1.6404526	-1.6236653	-11.336386	16000	-0.027282253	34889.664	-3.5682693e-05	141269.73	1.8130734	-1.0953665e-05	6.920323610305786
4	-367.1727	167.19322	-56.5472	-647.0091	97.871796	243.53587	44.956875	385.04666	120.20233	20000	0.022141766	198171.16	-1.0328367e-05	-82490.44	1.8233283	-1.4145091e-05	8.451756715774536
5	-326.67682	169.82426	-31.291748	-611.6181	96.71795	-135.38478	328.44708	615.0484	-915.9828	24000	0.00791461	113418.13	-5.083857e-05	371346.38	1.8248029	1.5568289e-06	9.996400594711304
6	-348.8353	184.65936	59.029568	-683.5555	98.91892	468.70636	235.8602	980.13983	82.02283	28000	0.028408717	453338.7	-4.344806e-05	18582.867	1.8216137	9.13562e-06	11.5535249710083
7	-403.0432	163.73082	39.522358	-746.326	99.57895	472.2872	214.64287	974.0797	115.46044	32000	-0.0030409545	504359.75	-7.130392e-05	6210297000.0	1.8383367	-1.3283461e-05	13.114955425262451
8	-388.27734	161.82211	-73.857956	-657.74255	99.63158	-65673.36	38598.535	-22053.043	-232980.34	36000	0.021665469	5629104600.0	-1.8246006e-05	nan	1.850909	1.5918022e-06	14.676712989807129
9	-319.2553	184.2751	-5.211492	-681.3234	95.675	nan	nan	nan	nan	40000	nan	nan	nan	nan	1.8453534	nan	16.426449298858643
