Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-925.184	272.1983	-460.69724	-1714.8862	90.72093	0.6015501	0.18413273	1.1472218	0.34420046	4000	0.014739193	240685.31	-5.5442564e-05	nan	1.8317795	7.961481e-06	2.1253445148468018
1	-897.5035	199.52257	-656.9973	-1335.275	88.88372	nan	nan	nan	nan	8000	nan	nan	nan	nan	1.8392711	nan	3.8106606006622314
2	-133.47734	57.747982	26.236038	-301.00717	73.33962	nan	nan	nan	nan	12000	nan	nan	nan	nan	nan	nan	5.1755242347717285
3	-129.8551	43.659065	33.716896	-198.65558	71.72222	nan	nan	nan	nan	16000	nan	nan	nan	nan	nan	nan	6.5170934200286865
4	-132.6729	30.915508	-30.480213	-209.47481	68.33929	nan	nan	nan	nan	20000	nan	nan	nan	nan	nan	nan	7.8806750774383545
5	-127.47986	37.832092	3.4309227	-213.11249	70.145454	nan	nan	nan	nan	24000	nan	nan	nan	nan	nan	nan	8.985997915267944
6	-135.85965	54.96558	-3.1750436	-368.66638	70.48214	nan	nan	nan	nan	28000	nan	nan	nan	nan	nan	nan	10.08476185798645
7	-126.476006	41.182434	22.169714	-196.39923	71.0	nan	nan	nan	nan	32000	nan	nan	nan	nan	nan	nan	11.17465090751648
8	-132.0232	40.29923	13.0022135	-213.03316	70.472725	nan	nan	nan	nan	36000	nan	nan	nan	nan	nan	nan	12.273033142089844
9	-134.51822	43.613544	14.736858	-205.03156	72.754715	nan	nan	nan	nan	40000	nan	nan	nan	nan	nan	nan	13.60807466506958
