Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-131.53157	72.00497	6.917168	-335.11172	94.04878	-0.043197293	0.41307408	0.9232961	-1.4242163	4000	-0.028614245	6366.206	-1.40126795e-05	-4265.1	1.8369071	-2.2755414e-06	1.3676354885101318
1	-152.46912	94.71024	43.720478	-466.7802	89.72093	-64.330605	5.75212	-24.950989	-74.700356	8000	-0.027338855	3450.6853	-1.2904406e-05	-922.47656	1.8592184	1.1552572e-06	2.435194253921509
2	-153.98204	96.13314	-2.577309	-495.98972	92.02381	-81.98387	20.433544	25.528734	-250.87756	12000	0.020325974	3158.565	-9.659678e-06	-230.21744	1.8209145	1.9869954e-06	3.4724690914154053
3	-171.65851	92.59089	35.561356	-402.46188	91.902435	-86.723015	15.0629835	7.2338243	-224.17339	16000	0.0070851073	2426.073	-1.1552125e-05	-235.9071	1.8481956	-1.0635257e-06	4.506453037261963
4	-163.88928	89.390175	-18.827873	-484.21133	96.62162	-85.17958	19.579344	13.229638	-241.0408	20000	-0.01953774	3092.4219	-1.0861084e-05	-714.7685	1.8478688	1.2103467e-06	5.746422290802002
5	-137.45404	87.54678	41.89223	-410.0651	99.70968	-75.31645	13.896893	-41.8254	-124.387314	24000	-0.01651989	3478.797	-6.0983e-06	-600.131	1.8512143	-1.3984592e-06	7.692757844924927
6	-180.77873	88.584206	-85.91544	-489.38828	98.76923	-65.079414	16.451971	-27.315344	-181.35655	28000	-0.013237327	3030.5002	-6.3357875e-06	-1379.2141	1.8116175	2.3724435e-06	8.73800778388977
7	-162.32645	78.36021	-54.585526	-424.74423	96.64103	-89.392296	18.940973	-39.16538	-308.80008	32000	0.011014484	1306.2648	-9.234529e-06	-119.015274	1.8460274	-2.875879e-09	9.780642032623291
8	-152.96687	82.1524	21.828447	-397.42636	92.63415	-84.033226	18.365257	-43.795013	-236.62582	36000	0.000980936	1701.0612	-1.4148653e-05	-169.07587	1.8426355	1.6689296e-07	10.818282127380371
9	-145.71243	71.74602	22.373888	-356.49713	86.860466	-82.557	22.10194	-33.209423	-320.13214	40000	-0.011340804	1262.5393	-1.7024577e-05	-111.0401	1.8592631	-5.0548165e-06	11.984447002410889
