Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-155.01291	90.6855	14.539969	-370.75714	85.22222	-0.16832489	0.610094	1.1398723	-1.9786103	4000	-0.018671393	9852.672	-1.9650906e-05	-6878.478	1.8369071	-4.204929e-06	1.3149960041046143
1	-149.29144	74.755135	22.093187	-338.3077	81.55319	-81.24075	12.880557	-0.8243212	-95.6006	8000	-0.004588276	2404.1172	-8.6687505e-06	-171.683	1.8592244	7.938593e-07	2.330409526824951
2	-184.10922	95.41988	-53.09848	-464.71463	86.0	-82.64838	6.8626313	-40.02911	-91.67061	12000	-0.01007551	3184.7844	-2.719462e-05	-539.37463	1.820934	2.2700879e-06	3.3246729373931885
3	-162.33496	109.28838	47.285103	-444.57056	88.53488	-104.663315	8.947512	-61.996468	-119.389786	16000	0.0058569238	4038.1472	-3.0182302e-05	-1260.1372	1.848197	3.0231772e-06	4.340502977371216
4	-164.94148	92.49451	92.668724	-393.29572	108.55556	-84.225	25.017971	-4.4026837	-243.64728	20000	-0.0228194	3123.2363	-3.3201693e-05	-1309.25	1.8478695	1.1432634e-05	7.45623779296875
5	-173.98529	85.751205	-16.310741	-421.30994	85.2	-89.53863	32.078224	27.670729	-234.62752	24000	0.0001969859	1852.8623	-5.4541044e-05	-544.19525	1.851213	9.706482e-06	8.484193325042725
6	-165.8227	75.0745	-78.04432	-389.8071	80.93617	-90.93219	23.806198	9.373571	-218.65437	28000	0.023581808	1169.2395	-2.2748485e-05	-366.11456	1.8116262	3.9290935e-06	9.507665395736694
7	-177.21114	100.61477	-54.62079	-597.713	83.577774	-94.76822	23.162033	-60.314934	-207.81335	32000	-0.006045796	1608.2665	-0.000112205744	-265.87033	1.8460581	1.3939723e-05	10.534364700317383
8	-166.39877	92.95395	-2.3218837	-398.41473	83.61702	-101.36008	33.025383	-20.814552	-242.49123	36000	0.0106694475	1671.0276	-2.7444214e-05	-283.8522	1.842656	1.2466759e-06	11.552738666534424
9	-159.67378	80.993965	-9.588974	-390.52075	84.71739	-87.74965	26.559637	-21.447405	-282.98672	40000	0.0029064938	1385.0358	-2.2897031e-05	-102.391556	1.8592894	7.6123474e-06	12.695774555206299
