Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-728.19336	158.1445	-453.19525	-1278.945	94.12195	0.5197534	0.12379582	1.0347278	0.27842164	4000	0.0020867735	141763.03	-6.025424e-06	-131074.64	1.8369071	3.2137482e-06	1.444481611251831
1	-778.4141	178.46892	-442.06592	-1328.8597	94.7	-340.5687	55.45578	-120.70817	-386.79123	8000	-0.017379753	10626.5	-1.2757257e-05	-5476.299	1.859237	-2.8967855e-07	2.5782740116119385
2	-731.062	138.21373	-535.9836	-1155.8605	89.309525	-382.1068	89.16128	-53.034492	-461.06897	12000	0.011807118	3921.1138	-1.7715502e-05	-846.4044	1.8209387	5.259797e-06	3.737001895904541
3	-726.49927	162.05255	-548.79724	-1296.2068	93.04878	-372.70657	104.83379	-106.73208	-471.52536	16000	-0.0021794746	4534.4453	-2.366351e-05	-990.3594	1.8482147	-3.1338034e-06	4.915916919708252
4	-710.22205	160.05936	-399.22	-1334.2019	90.790695	-376.14468	95.44503	-65.48278	-476.15204	20000	0.01079632	4752.3984	-1.3987534e-05	-1051.8098	1.8478824	-6.8638474e-06	6.067251443862915
5	-759.7585	154.42711	-590.38544	-1255.4369	96.10256	-368.32758	98.18183	-97.62869	-488.02853	24000	0.0070958585	2826.1724	-4.1473657e-05	-489.09756	1.8512461	-3.3227507e-06	7.213974952697754
6	-733.6475	157.55026	-394.2224	-1200.5082	91.02381	-372.1636	104.67757	-100.35882	-508.41943	28000	-0.013183478	2759.4744	-5.301833e-05	-433.75464	1.8116636	-1.6629656e-08	8.365941286087036
7	-767.2283	208.58981	-470.61465	-1375.1345	97.97436	-381.54706	105.254	-16.509722	-517.37714	32000	0.0099543035	3344.8606	-7.7294186e-05	-554.0684	1.8460734	-7.799789e-06	9.54008674621582
8	-752.05804	162.99283	-446.86124	-1390.2025	94.07692	-378.3744	110.59278	-17.912573	-532.75806	36000	0.028700868	2432.7307	-6.48126e-05	-265.51926	1.8426809	1.0094792e-06	10.702844142913818
9	-777.6139	194.16698	-507.15253	-1333.9617	100.4054	-396.0467	110.501884	-15.80068	-541.5762	40000	0.00081640854	3693.9746	-2.0746142e-05	-788.43475	1.8593252	-7.934108e-06	11.961790084838867
