Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-822.4135	194.2253	-543.9974	-1406.6743	86.545456	1.0343503	0.32756037	3.447588	0.42035955	4000	0.019827537	191143.4	-7.283874e-06	-58780.1	1.8369071	-9.344369e-07	1.4978923797607422
1	-830.40216	226.43411	-450.6986	-1553.2644	94.375	-71.038864	55.898075	-26.3845	-210.80629	8000	0.020671513	130811.9	-4.7124922e-06	-48294.89	1.8592476	-6.0123193e-07	2.691744327545166
2	-786.2288	136.08322	-613.3082	-1395.7877	85.26667	-143.07033	79.97863	-49.53025	-305.45013	12000	-0.0034978725	72200.17	-6.7483634e-05	32257.232	1.8209722	2.77057e-05	3.85516095161438
3	-761.3079	137.62862	-464.10306	-1251.5262	84.41304	-93.611015	40.864918	-64.25662	-210.52718	16000	0.010243539	100075.15	-5.463138e-06	-26512.635	1.8482391	-2.3486764e-06	5.076093435287476
4	-800.649	159.11406	-583.75214	-1273.966	87.795456	-137.8804	63.5481	-72.895065	-280.5444	20000	0.023350835	80516.89	-6.403774e-06	5567.626	1.8479142	7.5644266e-07	6.315601825714111
5	-834.3376	217.98372	-605.5774	-1457.2135	89.023254	-130.50221	50.788315	-83.30775	-254.2721	24000	-0.028227895	98530.98	-1.8775463e-05	-77952.04	1.8512853	-3.703355e-06	7.552628517150879
6	-874.9868	255.93718	-576.82074	-1814.5787	96.05	-441.50613	220.81143	-98.53796	-845.65656	28000	0.00035029836	21344.934	-7.776427e-05	91338.445	1.8116816	2.0788146e-05	8.79077696800232
7	-856.9749	183.39685	-645.3687	-1446.009	94.63415	-133.20468	29.535946	-115.1225	-224.13362	32000	0.027323168	98151.734	-1.9508647e-05	-79514.086	1.8460996	-2.7139781e-06	10.02463960647583
8	-772.9287	137.6924	-460.8519	-1178.0214	86.88636	-388.21146	203.39265	-124.570946	-788.4558	36000	-0.0033587366	11658.225	-1.2353994e-05	-789.1986	1.8427175	1.9499062e-06	11.332536697387695
9	-820.728	179.31999	-596.09424	-1331.1057	88.88372	-463.34256	181.24564	-128.99715	-803.9555	40000	0.041804746	12591.771	-6.9534406e-05	9863.647	1.8593426	-6.914258e-06	12.711403846740723
