Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-149.52179	92.02595	-7.4817038	-449.14688	93.19512	-0.0034560147	0.3025448	0.7124422	-0.97123635	4000	0.0055737942	8842.02	-4.087575e-06	-5979.145	1.8369071	-1.5024395e-06	1.3108024597167969
1	-159.5167	87.081726	-45.387707	-416.70877	96.3	-71.68017	2.7588844	-42.812275	-74.332245	8000	0.01990667	2036.3496	-5.19678e-06	-202.52771	1.8592389	-9.578914e-07	2.313082218170166
2	-164.94981	114.56112	-4.7619023	-471.71265	96.02564	-83.79842	3.508688	-56.610657	-88.96507	12000	-0.01565328	3913.1177	-4.031288e-06	-58.286987	1.8209634	-7.945001e-07	3.3335978984832764
3	-178.32007	111.42855	6.806416	-442.30652	94.48718	-88.79171	2.2945879	-70.11335	-92.44945	16000	-0.006078586	3024.9346	-7.774681e-06	-111.47562	1.8482227	-1.8277764e-07	4.387984037399292
4	-198.75227	119.81182	-34.047768	-471.6325	96.25641	-95.48499	3.4178872	-61.98753	-100.76215	20000	-0.028703868	3580.485	-2.4974346e-05	-117.559814	1.8478882	7.35338e-06	5.4338538646698
5	-212.52016	116.17719	-68.55749	-502.65872	102.13513	-105.25167	5.2464027	-41.270763	-113.69705	24000	0.012167286	3449.3486	-6.4540654e-06	-10.715912	1.851228	1.254797e-06	6.498883008956909
6	-155.58925	91.29341	15.470684	-397.72403	97.42105	-106.69042	4.9221883	-14.833229	-112.9693	28000	-0.029297426	3123.3716	-1.31162815e-05	-392.7965	1.8116486	4.4541054e-07	7.548032283782959
7	-182.29709	92.126366	-65.01008	-393.31064	95.589745	-86.89652	6.7426767	-41.06219	-94.86408	32000	-0.024237372	2455.19	-1.1816621e-05	-128.59225	1.8460488	2.4660678e-06	8.589683771133423
8	-163.8234	98.24405	41.609043	-395.94925	92.04878	-96.35898	4.276098	-62.088932	-102.399155	36000	0.024299461	2983.5703	-4.670117e-06	-62.47412	1.8426359	3.129691e-07	9.623545169830322
9	-167.12785	93.07797	4.177311	-338.68274	90.21429	-89.68985	3.9617026	-61.287827	-94.61823	40000	-0.005515337	2254.766	-3.0994415e-06	-125.40613	1.8592775	6.0187284e-07	10.7994863986969
