Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-865.043	219.01733	-421.90894	-1471.3257	84.73333	0.5875863	0.18266451	1.1684424	0.31100354	4000	0.027244061	217387.06	-2.0846725e-05	-186206.62	1.8317795	5.4973516e-06	1.8318452835083008
1	-928.6815	256.77243	-633.37177	-1584.7292	87.48889	-430.97537	3.0517578e-05	-430.97534	-430.97534	8000	-0.0046131834	33046.586	-8.7165274e-05	2763.1904	1.8392749	-3.3872588e-05	3.304497718811035
2	-931.8378	248.79558	-520.7111	-1511.8728	90.65854	-405.54977	6.1035156e-05	-405.5497	-405.5497	12000	-0.01053226	40117.27	-2.2457563e-05	2854.81	1.8485441	3.03407e-05	4.792863845825195
3	-960.73364	278.90778	-470.4931	-1680.1326	91.53658	-388.44675	3.0517578e-05	-388.44678	-388.44678	16000	-0.0048204362	43937.625	-8.188188e-06	2202.8584	1.8130852	-3.7428736e-06	6.299585580825806
4	-916.5987	226.67627	-538.5872	-1472.4186	92.17073	-377.9218	6.1035156e-05	-377.92175	-377.92175	20000	-0.004175546	36268.996	-8.915551e-06	-5485.9653	1.8234584	2.149804e-05	7.845240354537964
5	-913.13745	257.60425	-378.7045	-1577.4873	87.02273	-451.7435	3.0517578e-05	-451.74347	-451.74347	24000	0.013091784	36035.066	-2.3886561e-05	104.68701	1.8248869	-8.009315e-06	9.349160432815552
6	-907.8755	283.42386	-491.64078	-1571.5587	91.07317	-448.96643	3.0517578e-05	-448.96646	-448.96646	28000	-0.0072185732	37714.977	-9.0482645e-05	-168.41016	1.8215663	5.702467e-05	10.833104372024536
7	-923.0258	286.16626	-578.5278	-1833.1733	91.34146	-460.307	9.1552734e-05	-460.30692	-460.30692	32000	0.016792433	37323.414	-0.00012667105	1424.3438	1.8381915	-4.8852056e-05	12.328182697296143
8	-912.7171	255.84103	-521.6829	-1545.9019	90.18604	-433.16263	0.0	-433.16263	-433.16263	36000	-0.0054254346	32649.785	-2.4741516e-05	-587.14453	1.8507817	-2.2208542e-06	13.844274044036865
9	-859.9463	226.68614	-485.30237	-1474.0287	88.30232	-456.77283	6.1035156e-05	-456.77277	-456.77277	40000	0.023484148	31335.68	-9.09064e-06	-165.2627	1.8451121	-2.1249725e-05	15.525569200515747
