Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-268.52744	128.67496	4.5814652	-495.36566	135.39285	0.18317376	0.20650023	0.8645476	-0.7158714	4000	-0.0045973025	18654.889	-6.2584877e-06	-15003.617	1.8369071	1.6536117e-06	1.5403823852539062
1	-268.0457	117.7147	-86.589615	-564.2918	122.90323	-113.47205	39.281525	-3.9007096	-293.5458	8000	0.032307632	4140.777	-2.4508685e-05	-458.53406	1.8592328	1.02266625e-07	2.7302000522613525
2	-270.2435	158.97276	-55.729248	-639.3496	129.68965	-134.48103	37.804806	-27.378	-296.89966	12000	-0.00997369	3209.3271	-2.9269606e-05	-280.9745	1.8209646	5.00454e-06	3.942084550857544
3	-281.39	164.15115	-34.414093	-699.2614	137.64285	-127.57875	56.531452	-21.998451	-500.3442	16000	0.006293647	5643.315	-6.6822395e-06	-1689.7382	1.8482276	-1.0369122e-06	5.169648885726929
4	-229.95044	134.63985	-11.220896	-605.8143	114.242424	-133.07616	24.914862	-24.170412	-322.07993	20000	0.0037132353	3420.4414	-4.373491e-06	-649.6205	1.8479004	-1.4654845e-06	6.3175060749053955
5	-292.5969	135.8387	-58.19387	-544.05865	124.066666	-115.81969	40.773888	46.851025	-330.45798	24000	-0.022537153	5148.473	-3.133132e-05	-1341.7539	1.85126	-2.0400282e-06	7.47282862663269
6	-251.97525	111.60838	-103.05698	-571.69684	130.72414	-131.49326	29.795889	-49.226578	-282.6138	28000	-0.042454146	2654.5732	-1.5786849e-05	-465.60852	1.8116593	-1.3170838e-06	8.663601636886597
7	-286.51193	124.799614	-66.40272	-656.1664	128.93103	-126.17292	30.591991	-38.464184	-311.12488	32000	-0.0007874146	3785.556	-3.11248e-05	-970.77515	1.8460517	-2.6708096e-06	9.854024410247803
8	-230.38998	108.204704	-45.78427	-568.657	134.69565	-129.29556	41.687695	-39.36486	-364.22644	36000	0.0069530904	4915.2334	-7.243827e-06	-2842.716	1.8426526	-4.505664e-07	12.409061431884766
9	-233.14935	105.75471	-7.7641144	-468.75647	127.86207	-90.11601	31.684496	31.744898	-249.55212	40000	0.023379944	2989.9165	-2.2636726e-05	-1156.1495	1.8592838	-5.3790213e-06	13.760491371154785
