Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-186.66632	93.78744	-63.704033	-384.7969	90.02381	-0.030822556	0.3225736	0.57634467	-0.95579743	4000	-0.008094747	11859.909	-1.8570572e-06	-9221.815	1.8369071	-5.744397e-08	1.370805025100708
1	-176.54784	101.57871	-1.4033413	-455.08978	93.36585	-90.51075	2.9670737	-65.74396	-94.65932	8000	-0.020418592	2881.6248	-9.194948e-06	-41.543396	1.8592309	3.045201e-07	2.4255897998809814
2	-182.67827	85.61408	-68.05492	-384.32794	89.809525	-95.25351	2.4806468	-74.61264	-98.99601	12000	0.016005158	1923.7037	-5.993992e-06	-65.63817	1.8209308	1.513809e-07	3.4719126224517822
3	-162.94215	107.063446	15.435285	-479.658	91.71429	-101.062325	3.0022826	-57.001427	-104.92023	16000	0.0116267055	3732.9036	-3.663823e-06	-131.07187	1.8482091	3.1974912e-07	4.510314702987671
4	-159.59714	89.253876	2.0844939	-415.30786	96.3	-90.570885	4.7553267	-26.908236	-95.719894	20000	0.007178515	2314.4556	-4.8540533e-06	-121.79547	1.8478854	1.9908398e-06	5.553270101547241
5	-177.95013	96.0511	-22.225126	-462.6956	96.48718	-85.07529	3.1865952	-70.10372	-89.13235	24000	-0.0076790154	2410.9614	-5.1409006e-06	-91.057465	1.8512467	1.5531331e-06	6.570886135101318
6	-130.00371	76.04861	11.36253	-335.99393	92.6	-91.133514	4.2189474	-68.91449	-97.0833	28000	0.04691495	1927.888	-6.1504543e-06	-321.79947	1.8116554	1.5305727e-06	7.6221301555633545
7	-173.65291	105.433624	0.7522967	-429.8715	94.0	-73.96196	5.788358	-30.268017	-83.22584	32000	-0.012525193	3160.6714	-1.4960766e-05	-413.78647	1.8461013	2.3866742e-06	8.661120891571045
8	-172.30647	105.322136	-53.25932	-437.29745	96.82051	-92.85697	5.582852	-57.13237	-102.03629	36000	0.0075467452	2593.0237	-6.031245e-06	-49.28003	1.8426956	5.922615e-07	9.705729246139526
9	-146.68925	81.58047	-46.693153	-400.47653	89.833336	-91.43348	4.987003	-61.139572	-100.531204	40000	-0.0033251345	2013.5251	-5.107373e-06	-129.0346	1.8593271	2.2326858e-06	10.913061618804932
