Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-166.45245	91.02159	-23.332714	-379.12292	92.07143	0.04308338	0.405804	1.0651565	-1.4051845	4000	-0.021268912	11086.824	-5.9865415e-06	-7847.5435	1.8369071	-5.404801e-07	1.4197232723236084
1	-163.6221	94.175705	-4.8558383	-487.4719	92.36585	-87.829994	2.3520246	-53.791306	-89.35472	8000	0.0062952563	2393.5278	-1.2847595e-05	-49.56366	1.8592228	2.4375468e-06	2.488720178604126
2	-158.3857	94.60273	-36.220085	-408.7372	96.128204	-89.50033	1.8704469	-75.733116	-91.02062	12000	-0.021454362	2543.5151	-1.593493e-05	-73.21799	1.8209387	-2.5942477e-06	3.5517964363098145
3	-146.18422	67.773094	-59.77339	-391.00635	91.40625	-82.684265	3.58197	-69.45381	-87.38101	16000	0.008378908	2351.4216	-9.211712e-06	-730.65454	1.8481948	2.0849407e-06	5.924449443817139
4	-171.4397	89.51842	-85.67372	-444.1521	88.53488	-73.10511	8.639931	17.62879	-81.196144	20000	-0.020615883	2824.1243	-2.1872576e-05	-651.148	1.8478689	7.971272e-06	6.978512525558472
5	-146.86226	92.126114	11.519681	-404.89426	91.309525	-92.27145	3.1251442	-49.408432	-100.327835	24000	0.012849808	2932.5225	-4.5746565e-06	-249.63306	1.8512138	1.1928529e-06	8.022993803024292
6	-166.18536	82.605316	11.696415	-385.86246	96.53846	-78.51089	5.904311	-31.169544	-89.00678	28000	-0.015253134	2018.9851	-1.776591e-05	-104.9232	1.8116345	2.2224335e-06	9.146610021591187
7	-149.94699	93.88879	21.608482	-451.13733	94.85	-84.70214	7.5551286	16.717476	-98.62075	32000	0.04045576	2251.6929	-1.0337681e-05	-216.57352	1.8460433	1.021922e-07	10.212473630905151
8	-149.11266	81.32755	-43.493057	-398.57532	87.93023	-78.38069	5.3628545	-61.532513	-97.66302	36000	0.0045749247	2073.5688	-3.5911798e-06	-77.654526	1.8426689	-1.691285e-08	11.242241621017456
9	-147.7646	68.28606	47.396294	-304.49484	87.53488	-83.82514	4.092845	-70.71997	-102.70718	40000	0.021349508	1258.1145	-4.715286e-06	-26.93628	1.8592991	-2.6932507e-06	12.453062295913696
