Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-432.88837	157.31578	-103.44015	-697.12494	99.18421	-0.3382352	0.12939952	0.03378138	-1.1230202	4000	0.003297776	53376.145	-2.6084483e-05	nan	1.8237762	-1.23281325e-05	1.9678008556365967
1	-408.89435	158.47351	-73.51091	-644.3285	92.75	nan	nan	nan	nan	8000	nan	nan	nan	nan	1.8209145	nan	3.467564344406128
2	-122.401474	43.87645	-5.8512588	-190.47522	70.29091	nan	nan	nan	nan	12000	nan	nan	nan	nan	nan	nan	4.754999876022339
3	-135.0732	29.502867	-44.973877	-216.5392	69.72727	nan	nan	nan	nan	16000	nan	nan	nan	nan	nan	nan	6.015400171279907
4	-127.71637	43.3809	-0.021176293	-282.71432	70.72222	nan	nan	nan	nan	20000	nan	nan	nan	nan	nan	nan	7.328508138656616
5	-123.44094	45.114513	27.612484	-214.58444	69.46429	nan	nan	nan	nan	24000	nan	nan	nan	nan	nan	nan	8.663579225540161
6	-133.5306	31.591919	7.5991144	-191.17613	72.01852	nan	nan	nan	nan	28000	nan	nan	nan	nan	nan	nan	9.986886978149414
7	-123.36324	46.06616	36.271667	-283.05618	71.40741	nan	nan	nan	nan	32000	nan	nan	nan	nan	nan	nan	11.332468032836914
8	-134.17566	48.554134	10.612584	-301.02612	69.46429	nan	nan	nan	nan	36000	nan	nan	nan	nan	nan	nan	12.668406963348389
9	-136.3696	45.83655	19.835325	-328.4368	71.603775	nan	nan	nan	nan	40000	nan	nan	nan	nan	nan	nan	14.314870595932007
