Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-267.95038	156.11491	-41.247074	-781.6289	141.25926	0.2186546	0.16426024	0.8345617	-0.28872323	4000	0.0017947257	19240.207	-7.1823597e-06	-67.00049	1.8369071	-6.230324e-07	1.4745311737060547
1	-239.62155	145.52849	0.22170119	-530.23627	117.29032	-0.058162298	0.16795331	0.43061277	-0.7399813	8000	-0.00439436	19835.574	-1.5673228e-05	-32.469727	1.8592389	3.9632173e-06	2.619952917098999
2	-235.69044	131.31218	-12.907311	-682.2923	125.433334	-0.18293494	0.1644767	0.25931424	-0.8148348	12000	-0.023750722	17001.57	-1.4178455e-05	-20.65332	1.8209431	7.9721207e-07	3.7561516761779785
3	-265.871	131.9239	-74.70052	-536.68414	124.22581	-0.29933575	0.18283235	0.035697237	-1.3487854	16000	0.021511331	21664.027	-2.5996938e-05	-25.641357	1.8481674	1.9165727e-06	4.95028281211853
4	-252.50276	132.56294	-5.0225086	-551.64496	143.11111	-0.341524	0.21443656	0.23171002	-1.7002984	20000	0.007475972	17593.785	-6.0349703e-06	-15.162491	1.8478769	-1.7674267e-06	8.565407037734985
5	-256.56882	128.15239	-59.259045	-588.15607	117.7	-0.48142335	0.20283397	-0.038650684	-1.675382	24000	0.0074448287	19646.324	-1.1667609e-05	-24.193604	1.8512478	1.4369339e-06	9.794631958007812
6	-264.12616	118.56881	-70.02796	-485.53275	134.07143	-0.53478676	0.24023594	-0.19499794	-2.159201	28000	0.009691618	17687.172	-1.7962418e-05	-15.258789	1.8116748	5.2766354e-06	10.972787380218506
7	-257.1719	130.7393	15.069071	-562.3456	128.03703	-0.6044281	0.2943518	0.031586803	-2.9066117	32000	-0.0034029037	18240.143	-1.6545877e-05	-15.72583	1.8461102	5.440876e-06	12.188870191574097
8	-256.8579	132.39125	47.13105	-506.01508	118.27273	-0.64752316	0.25521332	0.03824379	-2.4500248	36000	-0.00859474	20364.383	-8.549541e-06	-16.205566	1.8427054	3.7974569e-06	13.351715087890625
9	-198.9615	86.52703	-99.50766	-414.48798	119.46875	-0.6785383	0.26843935	-0.33429864	-3.0973496	40000	0.009227235	11253.042	-1.0967255e-05	-8.668945	1.8593167	-6.347433e-06	14.649056196212769
