Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-386.88196	187.83682	14.476551	-763.4566	92.65854	-0.3216817	0.15105419	-0.02065003	-1.1785054	4000	0.030973509	47562.75	-6.1758794e-05	-1377.1587	1.8237762	-1.7557082e-05	2.273524522781372
1	-395.21783	184.02213	12.955005	-680.76733	91.2381	-3.8874507	1.3578857	-1.3892622	-10.237372	8000	0.0034363456	49202.8	-0.00014312565	-1069.7842	1.8209709	7.291781e-06	4.026057481765747
2	-382.94257	140.16231	-99.3682	-679.7731	92.3	-6.1613398	2.0832868	-3.012307	-15.946657	12000	0.009267643	40432.496	-6.165076e-05	-806.48535	1.840537	-1.1342973e-05	5.763174057006836
3	-368.35352	155.94719	-96.99889	-659.1599	92.09524	-8.191101	3.028486	-4.338184	-20.237986	16000	-0.033375338	40851.734	-8.463673e-05	-828.792	1.8319447	7.744863e-06	7.492987632751465
4	-442.09143	140.7766	-150.27016	-720.3797	91.333336	-11.611047	4.080928	-5.640904	-26.989721	20000	0.003679797	52116.51	-0.00014321879	-1321.8184	1.8428066	5.064212e-05	9.098220348358154
5	-355.97012	161.98387	19.289644	-748.0144	88.674416	-13.215785	4.909626	-4.072902	-35.289455	24000	-0.020430006	37568.008	-5.3191558e-05	-798.83545	1.8172096	-2.8301372e-05	10.62843632698059
6	-390.5664	163.17079	-18.760603	-718.71045	93.21951	-16.311962	6.264343	-8.725264	-37.32783	28000	0.00019574165	41760.484	-6.0026534e-05	-990.0054	1.8524609	-7.988394e-06	12.152204275131226
7	-359.3543	168.87674	-43.963703	-713.7628	92.8	-18.657188	7.1216636	-9.478844	-50.928284	32000	-0.026174396	36654.695	-8.1526116e-05	-854.04834	1.8559821	-1.5597376e-05	13.650025367736816
8	-375.22708	170.93658	-35.362507	-684.0596	89.681816	-21.96057	8.065476	-10.365027	-49.169556	36000	0.015072573	37929.477	-4.064478e-05	-1010.14844	1.8519802	-4.674597e-05	15.149062633514404
9	-431.3732	152.59703	-114.94521	-692.07825	92.414635	-26.221075	9.806909	-13.520653	-56.227577	40000	-0.019242924	42724.97	-0.00020567421	-1244.3779	1.8450212	5.1214512e-05	16.96793794631958
