Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-360.65167	145.86205	-61.635975	-685.59045	97.7	0.13566394	0.12245804	0.85016984	-0.081735216	4000	0.00985717	42752.895	-6.798655e-05	-525.86816	1.8317797	1.1219099e-05	1.7433505058288574
1	-399.32956	163.58731	-70.354614	-680.7555	94.45	-1.2964834	0.27446932	-0.69561094	-3.0080686	8000	-0.012102127	50526.82	-2.0720065e-05	-436.9287	1.8392773	-6.3422026e-06	3.07582688331604
2	-353.43262	177.46283	-61.88256	-639.2558	101.5	-2.2154853	0.5593553	-1.328667	-5.5502195	12000	0.018824663	40897.87	-3.4918543e-05	-327.1455	1.8485262	-1.0601074e-05	4.398019790649414
3	-378.16266	168.3455	12.407334	-668.60614	98.6579	-3.190131	0.79428136	-1.0755157	-7.353447	16000	0.017000252	44519.67	-2.9794872e-05	-404.8379	1.8131093	2.570448e-08	5.712937593460083
4	-319.08875	191.96935	-4.362555	-638.3403	92.39024	-4.1248507	1.1304013	-2.348489	-11.411283	20000	0.01725211	37543.758	-2.0513311e-05	-336.34814	1.8235176	-1.2217924e-05	7.051618814468384
5	-372.9761	177.1257	-51.97033	-645.88715	98.61539	-5.197996	1.5861995	-1.9130726	-13.144009	24000	0.012948833	44447.17	-4.0225685e-05	-456.3042	1.824981	4.5526626e-06	8.36276364326477
6	-368.6407	157.86542	16.125221	-625.3344	97.48718	-6.2752657	1.7746063	-2.231315	-15.251827	28000	-0.007622853	41638.016	-5.081296e-06	-438.94922	1.8216769	3.0492693e-06	9.687079906463623
7	-362.07953	181.6461	-35.991802	-631.2952	100.945946	-7.365115	2.4976454	-2.6745915	-21.884005	32000	0.0022741407	39857.094	-1.4221296e-05	-421.46924	1.8382921	-8.867087e-07	11.049075841903687
8	-412.0042	190.28168	-1.126611	-772.12256	97.51282	-9.091162	3.173694	-3.1756537	-22.904356	36000	-0.015608832	50392.445	-6.582937e-05	-641.9927	1.8508765	7.4457375e-06	12.357308626174927
9	-288.4413	162.23709	-18.072355	-639.56885	100.39474	-9.247144	2.7933962	-3.877633	-26.659582	40000	-0.03447575	27546.285	-2.9712915e-05	-274.35107	1.845181	-2.2137716e-05	13.958600521087646
