Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-275.66357	167.98105	-78.53903	-918.19617	141.46153	-0.38559547	0.16719267	0.12399276	-1.3165134	4000	-0.004698515	17775.72	-4.4438057e-06	-13363.682	1.8415372	9.468645e-07	1.7416455745697021
1	-300.28497	195.48343	-20.03926	-907.2564	139.76	-114.85319	33.73162	-35.273174	-270.6989	8000	0.016784955	9420.906	-1.9039959e-05	-4560.972	1.8350369	1.7058253e-06	3.165529489517212
2	-239.50761	149.42848	-38.408062	-731.68274	137.68	-141.65422	45.860542	-49.409756	-448.3353	12000	-0.00533136	3716.3318	-7.5045973e-06	-1091.182	1.8516254	-1.0052771e-06	4.536884307861328
3	-224.50456	110.27586	-7.8820558	-472.97995	131.33333	-118.41189	61.29593	-31.40083	-414.86057	16000	0.0035528839	6341.1665	-1.2073666e-05	-3460.5815	1.8406758	-1.701564e-07	5.825840473175049
4	-262.68698	155.08829	1.1554881	-559.47046	137.28572	-137.5036	66.19777	-41.936127	-450.83716	20000	0.025879718	6873.381	-2.9921299e-05	-3241.2485	1.809967	-2.6038733e-06	7.083926439285278
5	-261.36328	153.25589	-9.265462	-753.5485	133.21428	-128.78186	44.364437	-45.7734	-349.39212	24000	0.0046564024	3538.1975	-4.461035e-06	-999.7938	1.839499	8.9548524e-07	8.379508018493652
6	-241.79694	127.710945	-38.522724	-607.8218	124.55173	-124.55772	40.112415	-53.931065	-375.42236	28000	0.007093966	2027.9287	-1.2895092e-05	-400.1858	1.7978082	-4.67138e-06	9.6435387134552
7	-256.61148	165.1289	-1.2743132	-750.84515	136.79167	-129.56989	33.939075	-55.750916	-277.67267	32000	-0.0156281	3066.569	-2.5078654e-05	-1343.4421	1.8316102	5.180925e-06	11.186965703964233
8	-269.68784	208.06078	-23.55807	-1023.5224	133.60715	-109.57964	57.124123	-23.751223	-327.04147	36000	-0.00083165616	4473.522	-3.6729034e-05	-1172.0789	1.8242438	-7.5756607e-06	12.609947681427002
9	-223.59964	118.87423	28.874191	-448.35327	138.76923	-122.71195	41.08672	-43.78157	-324.62637	40000	0.009690493	3197.5664	-2.3361295e-05	-1177.8529	1.8413703	4.127309e-06	14.134533882141113
