Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-738.0443	168.87166	-454.52472	-1462.2759	94.48781	0.49351916	0.116022475	1.0620669	0.26096725	4000	0.0070518106	150444.42	-7.5334683e-06	-131091.4	1.8369071	2.6661157e-06	1.491128921508789
1	-725.044	178.89139	-464.42438	-1277.0161	94.825	-357.44156	6.590171	-150.74199	-362.5022	8000	-0.0012129173	15569.477	-1.1185184e-06	-5917.6143	1.8592398	3.163068e-07	2.6294429302215576
2	-731.12695	152.99461	-464.1475	-1353.8844	93.9	-366.0916	47.903996	-165.63214	-406.61984	12000	0.042992022	8561.874	-7.906929e-06	-3281.669	1.8209515	1.949787e-06	3.787599802017212
3	-744.4345	173.0288	-449.1934	-1230.4707	100.36842	-367.01993	89.61643	-35.680954	-441.8355	16000	-0.015356209	6424.2314	-8.805888e-06	-1333.4626	1.8482461	-1.3065487e-06	4.958483457565308
4	-766.8957	200.28061	-492.13113	-1368.2186	94.76923	-366.75394	97.02505	-117.23325	-457.6552	20000	0.041284796	4955.876	-3.068894e-05	-1624.686	1.8479061	-6.8386043e-06	6.115828514099121
5	-775.7692	182.26134	-487.10074	-1398.7705	97.447365	-374.90094	111.142784	-15.072184	-496.40546	24000	-0.0007642247	3483.1152	-4.4234097e-05	-523.4181	1.8512878	-3.4950526e-06	7.30144476890564
6	-717.31635	104.90755	-531.282	-1063.2871	89.74419	-367.75287	107.44535	-16.312895	-507.3605	28000	-0.0018819124	2177.5889	-3.5943463e-05	-747.18665	1.8117008	2.0455864e-06	8.459340572357178
7	-727.1197	141.60956	-487.4699	-1195.0726	91.71429	-370.45688	102.272354	-15.101114	-502.2635	32000	0.003033029	3375.1865	-5.6696124e-05	-411.525	1.8461173	-6.4632895e-06	9.610954999923706
8	-691.50415	137.7971	-462.7863	-1299.3058	90.88372	-368.49667	95.78168	-14.947219	-508.29596	36000	0.0010628104	4028.184	-4.4923276e-05	-586.40753	1.8427206	1.3933332e-06	10.754308938980103
9	-717.20337	158.78839	-450.17725	-1403.6316	91.23256	-365.53098	104.87345	-14.586673	-511.72327	40000	-0.0117836	3755.734	-1.8017367e-05	-360.75613	1.8593483	-7.849589e-06	12.042806148529053
