Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-805.4116	173.11148	-448.86526	-1247.2614	87.44444	1.007893	0.319657	2.1015627	0.37007627	4000	0.0061691646	183173.5	-1.6192673e-05	-159641.4	1.8369071	1.1845528e-06	1.4604787826538086
1	-793.50073	177.3084	-538.80585	-1372.122	89.30232	-471.31137	164.10083	-22.575136	-760.78064	8000	0.014609189	18969.516	-8.320203e-06	83252.266	1.8592392	2.1353367e-07	2.655087947845459
2	-855.9303	170.46559	-613.55414	-1308.5226	94.333336	-116.94972	40.139725	-40.04946	-213.52817	12000	0.00889937	101489.79	-6.3178595e-06	-85267.27	1.8209605	-1.0578647e-05	3.859429359436035
3	-908.387	249.19281	-644.507	-1757.394	96.666664	-400.73837	164.93832	-140.54848	-848.736	16000	0.0047151074	20087.217	-3.764173e-05	5246.2563	1.8482347	4.817978e-06	5.076573371887207
4	-744.2635	118.20728	-431.60892	-1215.1407	83.695656	-505.26633	206.77638	-81.190216	-859.8896	20000	-0.006632503	27359.828	-1.8964522e-05	-10547.605	1.8479066	-5.555794e-06	6.298214912414551
5	-852.8691	249.75302	-523.704	-1601.2479	92.756096	-498.1643	172.60606	-87.91384	-818.0388	24000	-0.00014666189	17015.006	-1.8361956e-05	100659.79	1.8512597	1.1267512e-06	7.523613691329956
6	-782.9903	118.36713	-628.2925	-1195.1332	84.08696	-130.83745	0.28814077	-126.44924	-130.89503	28000	-0.008834876	86533.52	-9.202515e-06	-73105.25	1.8116727	5.846828e-06	8.725653886795044
7	-854.892	214.45793	-584.02325	-1408.1129	92.87805	-307.0663	118.19485	-154.3819	-535.00934	32000	0.02179078	22932.223	-4.508719e-05	-9389.044	1.8460852	-1.6544459e-06	9.954833269119263
8	-810.6444	181.56474	-472.30026	-1264.4716	91.46342	-423.20245	189.07578	-160.99696	-783.79724	36000	-0.008876711	11363.314	-3.328547e-05	-2936.4814	1.8426999	2.2210334e-06	11.236286401748657
9	-846.5717	205.73909	-526.83795	-1343.5038	92.0	-460.04816	134.3533	-163.65085	-735.32874	40000	0.022345189	6978.345	-7.552095e-05	3798.353	1.8593215	-3.3997192e-05	12.70011568069458
