Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-153.82944	83.64733	-25.57667	-415.0315	88.72093	-0.018047504	0.30020535	0.58363676	-0.86151767	4000	-0.025288165	8634.6875	-6.651506e-06	-6692.3413	1.8369071	-1.383245e-06	1.328216552734375
1	-203.58813	118.00316	-42.71683	-468.6181	98.818184	-72.94406	7.4757776	-37.610603	-81.23266	8000	-0.02263067	4968.502	-8.650124e-06	-632.49384	1.8592205	2.0116122e-06	2.941936731338501
2	-158.661	97.460686	3.7050943	-497.0395	93.0	-96.37094	7.1471663	-12.828739	-101.79028	12000	-0.0016123429	3046.2585	-3.1292439e-06	-165.42392	1.8209193	-5.4657454e-07	3.979996681213379
3	-146.63937	74.88416	-12.003987	-401.64874	94.85	-89.871445	2.6160424	-64.32626	-93.46091	16000	0.035283163	1454.25	-5.8449805e-06	-142.10463	1.8481872	1.6690791e-07	5.044679164886475
4	-169.9591	109.29065	60.370895	-419.7809	92.11905	-79.2943	3.107568	-50.200226	-82.753395	20000	-0.0239476	3204.6594	-6.603077e-06	-209.8335	1.8478775	4.0278137e-06	6.126620531082153
5	-191.51749	118.33076	-10.285634	-520.0001	94.34146	-91.098305	4.746146	-27.76635	-99.23867	24000	-0.0048914365	3548.2412	-1.1142343e-05	-119.650085	1.8512201	3.3354163e-06	7.18167781829834
6	-147.93062	71.841446	22.00169	-354.15182	92.53658	-98.62718	6.777482	41.9066	-106.730545	28000	-0.006121099	1722.4636	-4.6417117e-06	-349.34906	1.8116302	1.2966096e-06	8.236276626586914
7	-173.24173	106.059906	39.291294	-386.1048	88.190475	-81.2525	5.523383	-30.686615	-88.32966	32000	-0.003662303	3322.0464	-8.770265e-06	-322.3744	1.8460445	1.096487e-06	9.293403387069702
8	-148.53783	71.97383	-56.45158	-325.9403	92.61905	-96.36206	6.51188	-46.24744	-103.36104	36000	0.04524629	1999.8682	-3.9078295e-06	-331.6801	1.8426437	4.6160815e-07	10.369729042053223
9	-153.62122	74.99678	6.249354	-330.09708	92.95122	-84.35795	2.3105333	-65.17427	-88.511505	40000	0.0034825727	1303.4048	-2.115965e-06	-53.82048	1.8592981	1.1701883e-07	11.561838626861572
