Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-395.5467	183.74945	46.84196	-680.82007	94.875	0.12672123	0.11868474	0.7466659	-0.11226015	4000	0.00019662827	51081.11	-1.1855736e-05	-38835.477	1.8317796	1.8862786e-06	1.6571543216705322
1	-386.3223	150.94008	-58.672405	-646.96814	98.53846	-129.91977	90.62514	94.892654	-276.82016	8000	-0.0010960959	10692.811	-1.1515804e-05	-8000.6636	1.8392589	-2.2658407e-06	3.182405948638916
2	-345.50027	168.70924	-75.23346	-639.6054	99.31579	-193.10013	54.043324	-83.312225	-256.7907	12000	0.008415837	2860.5596	-4.548952e-05	1814.686	1.84853	-9.00425e-06	4.730146408081055
3	-386.98996	168.63	-83.616554	-694.0934	101.53846	-168.1064	71.32482	-65.007774	-233.8041	16000	-0.017226726	5240.7383	-5.9843063e-05	-2521.7454	1.8130825	-1.1008009e-05	6.25247049331665
4	-359.37018	174.10277	4.943362	-675.75476	101.18421	-184.8491	67.95341	-88.23365	-263.8315	20000	-0.007296145	3981.616	-4.043244e-05	497.0103	1.8234483	-1.31326915e-05	7.778702020645142
5	-372.22348	177.15517	68.13028	-663.11206	99.73684	-189.88487	63.94964	-86.95993	-266.71796	24000	0.006567046	4593.014	-2.2002496e-05	-1297.2776	1.8248749	1.4458744e-06	9.323466777801514
6	-379.84564	183.19243	-90.68155	-653.70087	99.46154	-188.96506	74.07455	-35.78467	-264.30133	28000	-0.03318117	2763.7695	-4.1105784e-05	-714.4273	1.8215505	8.127556e-06	10.857329607009888
7	-382.5297	144.3833	-74.88985	-636.014	103.583336	-171.70622	80.03098	-57.958443	-294.92758	32000	-0.00036674738	3313.335	-6.200746e-05	500.01056	1.83816	3.9952693e-06	12.271267175674438
8	-373.4721	182.55829	3.462059	-644.8226	100.69231	-166.18143	70.504524	-63.453285	-271.9964	36000	-0.005228184	3544.12	-6.0475897e-05	-1128.2766	1.8507398	1.7004459e-06	13.547237396240234
9	-385.00638	167.26831	-72.38496	-718.8395	98.10256	-181.22534	88.074585	-39.063705	-281.12085	40000	-0.021833085	3878.316	-5.3871423e-05	-1420.4015	1.8450705	-2.1473064e-05	15.04956865310669
