Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-345.5235	185.03989	-41.69062	-727.6413	97.625	0.12658502	0.12108689	0.8144949	-0.07572	4000	0.024102643	42614.25	-1.0270625e-05	-38369.336	1.8317797	1.7969905e-06	1.6825027465820312
1	-374.72577	140.99599	-74.818146	-647.912	104.5	-215.06595	70.13378	-67.79955	-301.05212	8000	-0.0011566766	3668.3745	-6.0282648e-05	-1228.7292	1.8392732	-7.5088587e-06	3.0045583248138428
2	-356.37173	171.733	-57.911945	-624.3407	97.871796	-219.9105	69.89452	-39.395477	-310.04803	12000	-0.009982944	2617.9902	-5.079806e-05	-1207.4976	1.8485442	-9.094358e-06	4.314512491226196
3	-389.0613	178.76106	-41.752705	-683.7821	97.23684	-223.51863	81.90178	-60.023094	-331.99435	16000	-0.001970427	1549.6622	-9.06256e-05	-192.05045	1.8130858	-1.0562688e-05	5.629452466964722
4	-308.76324	171.7039	18.530067	-615.5102	100.0	-197.04106	79.25513	-45.606422	-336.7634	20000	0.021722175	2647.9646	-8.791685e-05	-1359.3845	1.8234607	-2.062282e-05	6.962831735610962
5	-371.78207	123.4335	-158.64769	-660.80756	101.1579	-209.08931	61.326466	-43.44541	-357.40665	24000	-0.03411196	2072.5688	-5.7563186e-05	-523.4253	1.8249047	-1.1872944e-06	8.284345865249634
6	-401.53888	153.42084	-77.256874	-650.3123	101.382355	-203.72588	69.25196	-61.19972	-358.44916	28000	-0.013416901	2677.249	-8.047931e-05	-1298.9492	1.8215557	1.3673886e-05	9.978527069091797
7	-369.26978	167.51271	-58.536316	-606.8387	99.447365	-206.67325	89.40929	-9.222568	-360.78488	32000	0.014135323	3117.583	-8.117594e-05	-1217.385	1.8381772	-3.1695815e-06	11.306779623031616
8	-364.0112	201.46208	-19.470203	-728.8168	100.289474	-205.71548	83.67676	-48.350662	-355.8002	36000	0.004179895	1697.3362	-0.00011434406	-540.4405	1.8507657	3.434614e-06	12.626612424850464
9	-377.89337	186.472	-55.086662	-730.82745	96.64103	-222.86542	100.88813	-23.738882	-368.1106	40000	0.018173367	2937.4224	-7.553585e-05	-961.62646	1.8451021	-2.8482376e-05	14.138183832168579
