Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-266.6754	196.19562	4.128461	-819.8102	142.72	-0.4134	0.18341404	0.03804834	-1.2798988	4000	-0.011089712	21889.973	-9.051058e-06	-703.73315	1.841537	1.655385e-06	1.743992805480957
1	-293.78384	163.3882	-72.01023	-796.508	148.52	-3.0270875	1.0403683	-1.5727125	-8.485663	8000	-0.003441438	17173.559	-1.0413583e-05	-892.74756	1.8350326	5.303353e-06	3.1562283039093018
2	-218.82437	107.92314	-14.392265	-472.47	124.14286	-6.050912	1.3220776	-2.514161	-17.334679	12000	-0.008227684	12007.895	-2.0671636e-05	-870.3789	1.851609	2.091125e-06	4.498548984527588
3	-291.08987	204.89447	-58.797546	-1082.4432	145.04167	-11.088159	3.3625824	-3.0223649	-33.32807	16000	0.014908344	17147.047	-9.97819e-06	-1375.2717	1.8406565	1.0548524e-07	5.83327054977417
4	-264.1914	132.51878	-57.439	-630.1824	141.07692	-16.965357	5.037292	-5.603868	-50.775593	20000	0.013254136	13966.749	-1.2053177e-05	-1440.5204	1.8099567	2.2274999e-06	7.117781639099121
5	-287.85056	137.14574	-49.41975	-675.2783	142.46153	-23.850908	6.9267254	-3.8048582	-64.511986	24000	-0.018571649	13162.08	-3.8839877e-05	-1655.9517	1.8394835	1.3248623e-06	8.54819941520691
6	-292.03802	185.11688	-80.06273	-991.3002	139.03847	-33.145016	9.823115	-16.495003	-107.13938	28000	-0.003922485	12611.697	-1.2919307e-05	-1782.8318	1.7977746	1.6288459e-07	10.031864404678345
7	-284.5688	134.41397	-73.55425	-567.151	144.48	-41.87575	14.099321	-8.455353	-127.188805	32000	-0.0028568432	9657.8125	-2.5981804e-05	-1590.1608	1.8315691	5.842522e-06	11.33667778968811
8	-286.17233	247.18027	-47.616093	-1238.4357	142.03847	-53.513508	13.17015	-9.354981	-131.73355	36000	-0.0026174486	14788.463	-6.417162e-05	-2074.5679	1.8242095	1.2152016e-05	12.624922037124634
9	-270.7931	137.4848	-60.808506	-651.61255	134.11111	-66.295	20.215	-8.452741	-217.11823	40000	0.0070967525	7043.422	-4.813075e-05	-1289.6428	1.8413339	1.2352899e-05	14.169355869293213
