Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-389.51315	143.91853	-123.28928	-643.17664	93.29269	-0.31463012	0.12071748	-0.04552305	-0.75667226	4000	-0.0170746	46038.41	-2.0198524e-05	-18336.473	1.8237762	-1.022318e-05	2.104849338531494
1	-380.0885	167.04314	6.391827	-665.2215	91.78571	-54.42207	21.739265	-14.392951	-125.63599	8000	-0.0075178985	27771.672	-7.6196156e-06	-17846.45	1.8209016	-2.5226923e-06	3.6401357650756836
2	-423.3772	143.00494	-172.90573	-655.00494	95.666664	-165.63142	54.289448	-81.73796	-325.30728	12000	-0.00015271455	10789.794	-1.7958926e-05	-7282.269	1.8404562	-4.8309566e-06	5.198361873626709
3	-411.6544	178.99574	13.4042425	-742.48553	93.0	-218.55734	44.71674	-63.38233	-338.2605	16000	-0.01944087	5386.6016	-2.0343112e-05	-1715.7341	1.8318462	-6.982744e-06	6.748445987701416
4	-435.4709	188.56886	-84.330536	-772.7923	93.0	-215.47244	66.30753	-34.99996	-348.6013	20000	-0.029508539	3725.5952	-0.00010420382	-913.9549	1.8427564	2.3846582e-05	8.300383806228638
5	-398.9574	166.44273	-89.00711	-716.5613	93.560974	-217.37834	69.338295	-55.182842	-389.44632	24000	-0.0125841275	2422.1714	-6.4864755e-05	-794.2273	1.8171296	-2.5679723e-05	9.824119806289673
6	-421.8593	144.13113	-139.08826	-673.95374	94.35	-211.23483	68.68597	-71.89594	-370.46533	28000	-0.01641604	1297.704	-0.00017289072	-253.74503	1.8524086	2.9802577e-05	11.315278768539429
7	-383.0274	170.44801	7.542457	-711.38385	91.87805	-217.54306	82.31234	-66.00654	-468.47623	32000	-0.019873876	2446.6255	-0.00017630681	-527.35565	1.8559151	-2.1260172e-05	12.841296911239624
8	-405.16235	145.8071	-14.993538	-670.5585	92.14286	-211.44234	74.84136	-59.97966	-395.36014	36000	0.011522844	1567.1082	-0.00020562578	-326.91412	1.8519437	-6.0235292e-05	14.373769044876099
9	-373.1829	188.5026	29.808018	-701.5709	91.19512	-199.09637	75.43097	-42.880867	-441.59418	40000	-0.005210935	2670.3677	-0.00016815611	-411.67953	1.8449678	2.0539954e-05	16.173950672149658
