Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	91.80263	15.115348	121.19703	24.153942	4000	0.0	7311.651	0.0	-356.2052	0.0	0.0	2.2277133464813232
1	0.0	0.0	0.0	0.0	1000.0	89.64138	15.004971	119.11705	22.260109	8000	0.0	7085.865	0.0	-379.70154	0.0	0.0	4.00627326965332
2	0.0	0.0	0.0	0.0	1000.0	87.238655	15.181779	116.90145	19.630543	12000	0.0	6632.556	0.0	-378.6433	0.0	0.0	5.783905029296875
3	0.0	0.0	0.0	0.0	1000.0	84.71372	15.252591	113.02697	17.126465	16000	0.0	6272.7524	0.0	-5825.5684	0.0	0.0	7.552753686904907
4	0.0	0.0	0.0	0.0	1000.0	9.198315	9.624519	32.998016	-45.418987	20000	0.0	169.66931	0.0	-94.38916	0.0	0.0	9.34304165840149
5	0.0	0.0	0.0	0.0	1000.0	0.7168862	8.229459	22.3951	-48.132465	24000	0.0	68.76995	0.0	-9.487912	0.0	0.0	11.1888108253479
6	0.0	0.0	0.0	0.0	1000.0	0.698874	7.739873	21.80375	-45.517113	28000	0.0	61.91326	0.0	-7.445428	0.0	0.0	13.095532417297363
7	0.0	0.0	0.0	0.0	1000.0	0.49892187	7.2238064	20.763943	-43.002136	32000	0.0	52.996696	0.0	-6.6092463	0.0	0.0	14.954773664474487
8	0.0	0.0	0.0	0.0	1000.0	0.03795685	6.8100667	19.270164	-41.0649	36000	0.0	47.743553	0.0	-6.3001966	0.0	0.0	16.69988226890564
9	0.0	0.0	0.0	0.0	1000.0	0.31203204	6.272718	18.66948	-38.055702	40000	0.0	40.544376	0.0	-5.429612	0.0	0.0	18.688543796539307
